"","Pathway","Gene","Level"
"45","CIII subunits","Cyc1","Pathway_Level3"
"46","CIII assembly factors","Bcs1l","Pathway_Level3"
"47","Complex IV","Cep89","Pathway_Level2"
"48","CIV subunits","Cox4i1","Pathway_Level3"
"49","CIV assembly factors","Cep89","Pathway_Level3"
"50","Complex V","Atp5a1","Pathway_Level2"
"51","CV subunits","Atp5a1","Pathway_Level3"
"52","CV assembly factors","Atpaf1","Pathway_Level3"
"53","Respirasome assembly","Cox7a2l","Pathway_Level2"
"54","Cytochrome C","Cycs","Pathway_Level2"
"55","Metabolism","Aadat","Pathway_Level1"
"56","Carbohydrate metabolism","Abhd11","Pathway_Level2"
"57","Gluconeogenesis","Gm4984","Pathway_Level3"
"58","Malate-aspartate shuttle","Got2","Pathway_Level3"
"59","Glycerol phosphate shuttle","Gpd2","Pathway_Level3"
"60","Pyruvate metabolism","Dlat","Pathway_Level3"
"61","TCA cycle","Aco2","Pathway_Level3"
"62","TCA-associated","Abhd11","Pathway_Level3"
"63","Itaconate metabolism","Acod1","Pathway_Level3"
"64","Ketone metabolism","Acaa2","Pathway_Level3"
"65","Propanoate metabolism","Mcee","Pathway_Level3"
"66","Lipid metabolism","Acaa1a","Pathway_Level2"
"67","Fatty acid oxidation","Acaa1a","Pathway_Level3"
"68","Type II fatty acid synthesis","Acaca","Pathway_Level3"
"69","Lipoate insertion","Gcsh","Pathway_Level3"
"70","Cardiolipin synthesis","Agpat4","Pathway_Level3"
"71","Cholesterol, bile acid, steroid synthesis","Cyp11a1","Pathway_Level3"
"72","Cholesterol-associated","Fdps","Pathway_Level3"
"73","Phospholipid metabolism","Acp6","Pathway_Level3"
"74","Eicosanoid metabolism","Mgst3","Pathway_Level3"
"75","Amino acid metabolism","Aadat","Pathway_Level2"
"76","Branched-chain amino acid metabolism","Acad8","Pathway_Level3"
"77","Branched-chain amino acid dehydrogenase complex","Bckdha","Pathway_Level3"
"78","Lysine metabolism","Aadat","Pathway_Level3"
"79","Serine metabolism","Agxt","Pathway_Level3"
"80","Glycine metabolism","Aldh7a1","Pathway_Level3"
"81","Glycine cleavage system","Amt","Pathway_Level3"
"82","Glutamate metabolism","Gls","Pathway_Level3"
"83","Proline metabolism","Aldh18a1","Pathway_Level3"
"84","Glyoxylate metabolism","Agxt","Pathway_Level3"
"85","GABA metabolism","Abat","Pathway_Level3"
"86","Catechol metabolism","Comt","Pathway_Level3"
"87","Kynurenine metabolism","Got2","Pathway_Level3"
"88","Urea cycle","Car5a","Pathway_Level3"
"89","Nucleotide metabolism","Ak2","Pathway_Level2"
"90","Nucleotide import","Slc25a23","Pathway_Level3"
"91","Nucleotide synthesis and processing","Ak2","Pathway_Level3"
"92","Creatine metabolism","Ckmt1","Pathway_Level3"
"93","Metals and cofactors","Abat","Pathway_Level2"
"94","Carnitine synthesis and transport","Cpt1a","Pathway_Level3"
"95","Carnitine shuttle","Cpt1a","Pathway_Level3"
"96","Coenzyme A metabolism","Coasy","Pathway_Level3"
"97","Coenzyme Q metabolism","Coq10a","Pathway_Level3"
"98","Copper metabolism","Chchd7","Pathway_Level3"
"99","Iron homeostasis","Fam210b","Pathway_Level3"
"100","Heme synthesis and processing","Abcb10","Pathway_Level3"
"101","Fe-S cluster biosynthesis","Abcb7","Pathway_Level3"
"102","Molybdenum cofactor synthesis and proteins","Abcb7","Pathway_Level3"
"103","NAD biosynthesis and metabolism","Kmo","Pathway_Level3"
"104","Tetrahydrobiopterin synthesis","Pcbd2","Pathway_Level3"
"105","Fe-S-containing proteins","Abat","Pathway_Level3"
"106","Heme-containing proteins","Cyb5b","Pathway_Level3"
"107","Vitamin metabolism","Acaca","Pathway_Level2"
"108","Choline and betaine metabolism","Aldh7a1","Pathway_Level3"
"109","Biotin utilizing proteins","Acaca","Pathway_Level3"
"110","Vitamin A metabolism","Akr1b10","Pathway_Level3"
"111","Vitamin B1 metabolism","Slc25a19","Pathway_Level3"
"112","Vitamin B2 metabolism","Flad1","Pathway_Level3"
"113","Vitamin B6 metabolism","Plpbp","Pathway_Level3"
"114","Vitamin B12 metabolism","Mmaa","Pathway_Level3"
"115","Vitamin C metabolism","Glrx2","Pathway_Level3"
"116","Vitamin D metabolism","Cyp24a1","Pathway_Level3"
"117","Folate and 1-C metabolism","Aldh1l1","Pathway_Level3"
"118","Detoxification","Abhd10","Pathway_Level2"
"119","Xenobiotic metabolism","Abhd10","Pathway_Level3"
"120","ROS and glutathione metabolism","Aifm2","Pathway_Level3"
"121","Amidoxime reducing complex","Cyb5b","Pathway_Level3"
"122","Selenoproteins","Gpx1","Pathway_Level3"
"123","Electron carriers","Chdh","Pathway_Level2"
"124","Cytochromes","Cyb5b","Pathway_Level3"
"125","Q-linked reactions, other","Chdh","Pathway_Level3"
"126","Sulfur metabolism","Ethe1","Pathway_Level2"
"127","Small molecule transport","Abca9","Pathway_Level1"
"128","SLC25A family","Mtch1","Pathway_Level2"
"129","ABC transporters","Abca9","Pathway_Level2"
"130","Sideroflexins","Sfxn1","Pathway_Level2"
"131","Signaling","Acod1","Pathway_Level1"
"132","Calcium homeostasis","Efhd1","Pathway_Level2"
"133","Calcium uniporter","Mcu","Pathway_Level2"
"134","Calcium cycle","Letm1","Pathway_Level3"
"135","Mitochondrial permeability transition pore","Ppif","Pathway_Level3"
"136","EF hand proteins","Efhd1","Pathway_Level3"
"137","Immune response","Acod1","Pathway_Level2"
"138","cAMP-PKA signaling","Adcy10","Pathway_Level2"
"139","Mitochondrial dynamics and surveillance","Ahcyl1","Pathway_Level1"
"140","Fusion","Arl2","Pathway_Level2"
"141","Fission","Armc10","Pathway_Level2"
"142","Organelle contact sites","Ahcyl1","Pathway_Level2"
"143","Intramitochondrial membrane interactions","Atad3a","Pathway_Level2"
"144","Trafficking","Armc10","Pathway_Level2"
"145","Mitophagy","Bcl2l13","Pathway_Level2"
"146","Autophagy","Bcl2l13","Pathway_Level2"
"147","Apoptosis","Aifm1","Pathway_Level2"
"148","Cristae formation","Apoo","Pathway_Level2"
"149","MICOS complex","Apoo","Pathway_Level3"
"150","Mitochondrial central dogma","Aars2","Pathway_Level1"
"151","mtDNA maintenance","Atad3a","Pathway_Level2"
"152","mtDNA replication","Exog","Pathway_Level3"
"153","mtDNA nucleoid","Mterf1a","Pathway_Level3"
"154","mtDNA repair","Exog","Pathway_Level3"
"155","mtDNA stability and decay","Exog","Pathway_Level3"
"156","mtRNA metabolism","Angel2","Pathway_Level2"
"157","Transcription","Mterf1a","Pathway_Level3"
"158","mtRNA granules","Ddx28","Pathway_Level3"
"159","Polycistronic mtRNA processing","Fastk","Pathway_Level3"
"160","mt-tRNA modifications","Cdk5rap1","Pathway_Level3"
"161","mt-rRNA modifications","Mettl17","Pathway_Level3"
"162","mt-mRNA modifications","Mtpap","Pathway_Level3"
"163","mtRNA stability and decay","Fastk","Pathway_Level3"
"164","Translation","Aars2","Pathway_Level2"
"165","Mitochondrial ribosome","Chchd1","Pathway_Level3"
"166","Mitochondrial ribosome assembly","Dhx30","Pathway_Level3"
"167","Translation factors","Coa3","Pathway_Level3"
"168","mt-tRNA synthetases","Cars2","Pathway_Level3"
"169","fMet processing","Mtfmt","Pathway_Level3"
"170","Protein import, sorting and homeostasis","Afg3l1","Pathway_Level1"
"171","Protein import and sorting","Aifm1","Pathway_Level2"
"172","TOM","Tomm22","Pathway_Level3"
"173","SAM","Mtx2","Pathway_Level3"
"174","MIA40","Chchd4","Pathway_Level3"
"175","TIM22 carrier pathway","Timm22","Pathway_Level3"
"176","TIM23 presequence pathway","Timm17a","Pathway_Level3"
"177","Import motor","Dnajc19","Pathway_Level3"
"178","Preprotein cleavage","Immp2l","Pathway_Level3"
"179","Protein homeostasis","Afg3l1","Pathway_Level2"
"180","Proteases","Afg3l1","Pathway_Level3"
"181","Chaperones","Dnlz","Pathway_Level3"
"182","OXPHOS","Aifm1","Pathway_Level1"
"183","OXPHOS subunits","Atp5b","Pathway_Level2"
"184","OXPHOS assembly factors","Aifm1","Pathway_Level2"
"185","Complex I","Aifm1","Pathway_Level2"
"186","CI subunits","mt-Nd2","Pathway_Level3"
"187","CI assembly factors","Aifm1","Pathway_Level3"
"188","Complex II","Sdhaf1","Pathway_Level2"
"189","CII subunits","Sdhb","Pathway_Level3"
"190","CII assembly factors","Sdhaf2","Pathway_Level3"
"191","Complex III","Cyc1","Pathway_Level2"
"192","CIII subunits","mt-Cytb","Pathway_Level3"
"193","CIII assembly factors","Lyrm7","Pathway_Level3"
"194","Complex IV","Cmc1","Pathway_Level2"
"195","CIV subunits","Cox4i2","Pathway_Level3"
"196","CIV assembly factors","Cmc1","Pathway_Level3"
"197","Complex V","Atp5b","Pathway_Level2"
"198","CV subunits","Atp5b","Pathway_Level3"
"199","CV assembly factors","Atpaf2","Pathway_Level3"
"200","Respirasome assembly","Higd1a","Pathway_Level2"
"201","Cytochrome C","Cyct","Pathway_Level2"
"202","Metabolism","Aass","Pathway_Level1"
"203","Carbohydrate metabolism","Acaa2","Pathway_Level2"
"204","Gluconeogenesis","Mdh2","Pathway_Level3"
"205","Malate-aspartate shuttle","Mdh2","Pathway_Level3"
"206","Pyruvate metabolism","Dld","Pathway_Level3"
"207","TCA cycle","Cs","Pathway_Level3"
"208","TCA-associated","Acly","Pathway_Level3"
"209","Itaconate metabolism","Auh","Pathway_Level3"
"210","Ketone metabolism","Acat1","Pathway_Level3"
"211","Propanoate metabolism","Mmut","Pathway_Level3"
"212","Lipid metabolism","Acaa1b","Pathway_Level2"
"213","Fatty acid oxidation","Acaa2","Pathway_Level3"
"214","Type II fatty acid synthesis","Acsf3","Pathway_Level3"
"215","Lipoate insertion","Lias","Pathway_Level3"
"216","Cardiolipin synthesis","Agpat5","Pathway_Level3"
"217","Cholesterol, bile acid, steroid synthesis","Cyp11b1","Pathway_Level3"
"218","Cholesterol-associated","Idi1","Pathway_Level3"
"219","Phospholipid metabolism","Agk","Pathway_Level3"
"220","Eicosanoid metabolism","Ptges2","Pathway_Level3"
"221","Amino acid metabolism","Aass","Pathway_Level2"
"222","Branched-chain amino acid metabolism","Acadsb","Pathway_Level3"
"223","Branched-chain amino acid dehydrogenase complex","Bckdhb","Pathway_Level3"
"224","Lysine metabolism","Aass","Pathway_Level3"
"225","Serine metabolism","Sdsl","Pathway_Level3"
"226","Glycine metabolism","Amt","Pathway_Level3"
"227","Glycine cleavage system","Dld","Pathway_Level3"
"228","Glutamate metabolism","Gls2","Pathway_Level3"
"229","Proline metabolism","Aldh4a1","Pathway_Level3"
"230","Glyoxylate metabolism","Agxt2","Pathway_Level3"
"231","GABA metabolism","Adhfe1","Pathway_Level3"
"232","Catechol metabolism","Maoa","Pathway_Level3"
"233","Kynurenine metabolism","Kmo","Pathway_Level3"
"234","Urea cycle","Car5b","Pathway_Level3"
"235","Nucleotide metabolism","Ak3","Pathway_Level2"
"236","Nucleotide import","Slc25a24","Pathway_Level3"
"237","Nucleotide synthesis and processing","Ak3","Pathway_Level3"
"238","Creatine metabolism","Ckmt2","Pathway_Level3"
"239","Metals and cofactors","Abcb10","Pathway_Level2"
"240","Carnitine synthesis and transport","Cpt1b","Pathway_Level3"
"241","Carnitine shuttle","Cpt1b","Pathway_Level3"
"242","Coenzyme A metabolism","Nudt19","Pathway_Level3"
"243","Coenzyme Q metabolism","Coq10b","Pathway_Level3"
"244","Copper metabolism","Cox11","Pathway_Level3"
"245","Iron homeostasis","Fth1","Pathway_Level3"
"246","Heme synthesis and processing","Abcb6","Pathway_Level3"
"247","Fe-S cluster biosynthesis","Bola1","Pathway_Level3"
"248","Molybdenum cofactor synthesis and proteins","Mocs1","Pathway_Level3"
"249","NAD biosynthesis and metabolism","Kyat3","Pathway_Level3"
"250","Tetrahydrobiopterin synthesis","Qdpr","Pathway_Level3"
"251","Fe-S-containing proteins","Aco2","Pathway_Level3"
"252","Heme-containing proteins","Cyc1","Pathway_Level3"
"253","Vitamin metabolism","Acacb","Pathway_Level2"
"254","Choline and betaine metabolism","Chdh","Pathway_Level3"
"255","Biotin utilizing proteins","Acacb","Pathway_Level3"
"256","Vitamin A metabolism","Bco2","Pathway_Level3"
"257","Vitamin B2 metabolism","Rfk","Pathway_Level3"
"258","Vitamin B6 metabolism","Pnpo","Pathway_Level3"
"259","Vitamin B12 metabolism","Mmab","Pathway_Level3"
"260","Vitamin C metabolism","Txn2","Pathway_Level3"
"261","Vitamin D metabolism","Cyp27b1","Pathway_Level3"
"262","Folate and 1-C metabolism","Aldh1l2","Pathway_Level3"
"263","Detoxification","Acsm2","Pathway_Level2"
"264","Xenobiotic metabolism","Acsm2","Pathway_Level3"
"265","ROS and glutathione metabolism","Aldh3a2","Pathway_Level3"
"266","Amidoxime reducing complex","Cyb5r3","Pathway_Level3"
"267","Selenoproteins","Gpx4","Pathway_Level3"
"268","Electron carriers","Cyb5b","Pathway_Level2"
"269","Cytochromes","Cyc1","Pathway_Level3"
"270","Q-linked reactions, other","Dhodh","Pathway_Level3"
"271","Sulfur metabolism","Got2","Pathway_Level2"
"272","Small molecule transport","Abcb10","Pathway_Level1"
"273","SLC25A family","Mtch2","Pathway_Level2"
"274","ABC transporters","Abcb10","Pathway_Level2"
"275","Sideroflexins","Sfxn2","Pathway_Level2"
"276","Signaling","Adcy10","Pathway_Level1"
"277","Calcium homeostasis","Letm1","Pathway_Level2"
"278","Calcium uniporter","Mcub","Pathway_Level2"
"279","Calcium cycle","Mcu","Pathway_Level3"
"280","Mitochondrial permeability transition pore","Slc25a31","Pathway_Level3"
"281","EF hand proteins","Micu1","Pathway_Level3"
"282","Immune response","C1qbp","Pathway_Level2"
"283","cAMP-PKA signaling","Akap1","Pathway_Level2"
"284","Mitochondrial dynamics and surveillance","Aifm1","Pathway_Level1"
"285","Fusion","Mfn1","Pathway_Level2"
"286","Fission","Dnm1l","Pathway_Level2"
"287","Organelle contact sites","Atad3a","Pathway_Level2"
"288","Intramitochondrial membrane interactions","Chchd3","Pathway_Level2"
"289","Trafficking","Armcx1","Pathway_Level2"
"290","Mitophagy","Fkbp8","Pathway_Level2"
"291","Autophagy","Fkbp8","Pathway_Level2"
"292","Apoptosis","Aifm2","Pathway_Level2"
"293","Cristae formation","Apool","Pathway_Level2"
"294","MICOS complex","Apool","Pathway_Level3"
"295","Mitochondrial central dogma","Alkbh1","Pathway_Level1"
"296","mtDNA maintenance","Dna2","Pathway_Level2"
"297","mtDNA replication","Lig3","Pathway_Level3"
"298","mtDNA nucleoid","Mterf1b","Pathway_Level3"
"299","mtDNA repair","Lig3","Pathway_Level3"
"300","mtDNA stability and decay","Mgme1","Pathway_Level3"
"301","mtRNA metabolism","Cdk5rap1","Pathway_Level2"
"302","Transcription","Mterf1b","Pathway_Level3"
"303","mtRNA granules","Dhx30","Pathway_Level3"
"304","Polycistronic mtRNA processing","Fastkd1","Pathway_Level3"
"305","mt-tRNA modifications","Dus2","Pathway_Level3"
"306","mt-rRNA modifications","Mettl5","Pathway_Level3"
"307","mt-mRNA modifications","Myg1","Pathway_Level3"
"308","mtRNA stability and decay","Fastkd1","Pathway_Level3"
"309","Translation","Aurkaip1","Pathway_Level2"
"310","Mitochondrial ribosome","Dap3","Pathway_Level3"
"311","Mitochondrial ribosome assembly","Eral1","Pathway_Level3"
"312","Translation factors","Cox14","Pathway_Level3"
"313","mt-tRNA synthetases","Dars2","Pathway_Level3"
"314","fMet processing","Pdf","Pathway_Level3"
"315","Protein import, sorting and homeostasis","Afg3l2","Pathway_Level1"
"316","Protein import and sorting","Chchd4","Pathway_Level2"
"317","TOM","Tomm34","Pathway_Level3"
"318","SAM","Samm50","Pathway_Level3"
"319","MIA40","Gfer","Pathway_Level3"
"320","TIM22 carrier pathway","Timm29","Pathway_Level3"
"321","TIM23 presequence pathway","Timm17b","Pathway_Level3"
"322","Import motor","Grpel1","Pathway_Level3"
"323","Preprotein cleavage","Mipep","Pathway_Level3"
"324","Protein homeostasis","Afg3l2","Pathway_Level2"
"325","Proteases","Afg3l2","Pathway_Level3"
"326","Chaperones","Fkbp10","Pathway_Level3"
"327","OXPHOS","Atp5a1","Pathway_Level1"
"328","OXPHOS subunits","Atp5c1","Pathway_Level2"
"329","OXPHOS assembly factors","Atpaf1","Pathway_Level2"
"330","Complex I","Dmac1","Pathway_Level2"
"331","CI subunits","mt-Nd3","Pathway_Level3"
"332","CI assembly factors","Dmac1","Pathway_Level3"
"333","Complex II","Sdhaf2","Pathway_Level2"
"334","CII subunits","Sdhc","Pathway_Level3"
"335","CII assembly factors","Sdhaf3","Pathway_Level3"
"336","Complex III","Lyrm7","Pathway_Level2"
"337","CIII subunits","Uqcr10","Pathway_Level3"
"338","CIII assembly factors","Ttc19","Pathway_Level3"
"339","Complex IV","Cmc2","Pathway_Level2"
"340","CIV subunits","Cox5a","Pathway_Level3"
"341","CIV assembly factors","Cmc2","Pathway_Level3"
"342","Complex V","Atp5c1","Pathway_Level2"
"343","CV subunits","Atp5c1","Pathway_Level3"
"344","CV assembly factors","Atpsckmt","Pathway_Level3"
"345","Respirasome assembly","Higd2a","Pathway_Level2"
"346","Cytochrome C","Hccs","Pathway_Level2"
"347","Metabolism","Abat","Pathway_Level1"
"348","Carbohydrate metabolism","Acat1","Pathway_Level2"
"349","Gluconeogenesis","Mpc1","Pathway_Level3"
"350","Malate-aspartate shuttle","Slc25a10","Pathway_Level3"
"351","Pyruvate metabolism","Gm4984","Pathway_Level3"
"352","TCA cycle","Dld","Pathway_Level3"
"353","TCA-associated","D2hgdh","Pathway_Level3"
"354","Itaconate metabolism","Clybl","Pathway_Level3"
"355","Ketone metabolism","Bdh1","Pathway_Level3"
"356","Propanoate metabolism","Pcca","Pathway_Level3"
"357","Lipid metabolism","Acaa2","Pathway_Level2"
"358","Fatty acid oxidation","Acacb","Pathway_Level3"
"359","Type II fatty acid synthesis","Cbr4","Pathway_Level3"
"360","Lipoate insertion","Lipt1","Pathway_Level3"
"361","Cardiolipin synthesis","Crls1","Pathway_Level3"
"362","Cholesterol, bile acid, steroid synthesis","Cyp11b2","Pathway_Level3"
"363","Phospholipid metabolism","Agpat4","Pathway_Level3"
"364","Eicosanoid metabolism","Zadh2","Pathway_Level3"
"365","Amino acid metabolism","Abat","Pathway_Level2"
"366","Branched-chain amino acid metabolism","Acat1","Pathway_Level3"
"367","Branched-chain amino acid dehydrogenase complex","Bckdk","Pathway_Level3"
"368","Lysine metabolism","Acaa2","Pathway_Level3"
"369","Serine metabolism","Sfxn1","Pathway_Level3"
"370","Glycine metabolism","Chdh","Pathway_Level3"
"371","Glycine cleavage system","Gcsh","Pathway_Level3"
"372","Glutamate metabolism","Glud1","Pathway_Level3"
"373","Proline metabolism","Oat","Pathway_Level3"
"374","Glyoxylate metabolism","Aldh4a1","Pathway_Level3"
"375","GABA metabolism","Akr7a5","Pathway_Level3"
"376","Catechol metabolism","Maob","Pathway_Level3"
"377","Kynurenine metabolism","Kyat3","Pathway_Level3"
"378","Urea cycle","Cps1","Pathway_Level3"
"379","Nucleotide metabolism","Ak4","Pathway_Level2"
"380","Nucleotide import","Slc25a25","Pathway_Level3"
"381","Nucleotide synthesis and processing","Ak4","Pathway_Level3"
"382","Creatine metabolism","Gatm","Pathway_Level3"
"383","Metals and cofactors","Abcb6","Pathway_Level2"
"384","Carnitine synthesis and transport","Cpt1c","Pathway_Level3"
"385","Carnitine shuttle","Cpt1c","Pathway_Level3"
"386","Coenzyme A metabolism","Nudt8","Pathway_Level3"
"387","Coenzyme Q metabolism","Coq2","Pathway_Level3"
"388","Copper metabolism","Cox17","Pathway_Level3"
"389","Iron homeostasis","Ftmt","Pathway_Level3"
"390","Heme synthesis and processing","Abcb7","Pathway_Level3"
"391","Fe-S cluster biosynthesis","Bola3","Pathway_Level3"
"392","Molybdenum cofactor synthesis and proteins","Mtarc1","Pathway_Level3"
"393","NAD biosynthesis and metabolism","Nadk2","Pathway_Level3"
"394","Tetrahydrobiopterin synthesis","Spr","Pathway_Level3"
"395","Fe-S-containing proteins","Aifm3","Pathway_Level3"
"396","Heme-containing proteins","Cycs","Pathway_Level3"
"397","Vitamin metabolism","Akr1b10","Pathway_Level2"
"398","Choline and betaine metabolism","Dmgdh","Pathway_Level3"
"399","Biotin utilizing proteins","Mccc1","Pathway_Level3"
"400","Vitamin A metabolism","Dhrs4","Pathway_Level3"
"401","Vitamin B2 metabolism","Slc25a32","Pathway_Level3"
"402","Vitamin B12 metabolism","Mmadhc","Pathway_Level3"
"403","Vitamin D metabolism","Fdx1","Pathway_Level3"
"404","Folate and 1-C metabolism","Aldh7a1","Pathway_Level3"
"405","Detoxification","Acsm5","Pathway_Level2"
"406","Xenobiotic metabolism","Acsm5","Pathway_Level3"
"407","ROS and glutathione metabolism","Aldh7a1","Pathway_Level3"
"408","Amidoxime reducing complex","Mtarc1","Pathway_Level3"
"409","Selenoproteins","Selenoo","Pathway_Level3"
"410","Electron carriers","Cyc1","Pathway_Level2"
"411","Cytochromes","Cycs","Pathway_Level3"
"412","Q-linked reactions, other","Etfa","Pathway_Level3"
"413","Sulfur metabolism","Mpst","Pathway_Level2"
"414","Small molecule transport","Abcb6","Pathway_Level1"
"415","SLC25A family","Slc25a1","Pathway_Level2"
"416","ABC transporters","Abcb6","Pathway_Level2"
"417","Sideroflexins","Sfxn3","Pathway_Level2"
"418","Signaling","Akap1","Pathway_Level1"
"419","Calcium homeostasis","Mcu","Pathway_Level2"
"420","Calcium uniporter","Micu1","Pathway_Level2"
"421","Calcium cycle","Mcub","Pathway_Level3"
"422","Mitochondrial permeability transition pore","Slc25a4","Pathway_Level3"
"423","EF hand proteins","Micu2","Pathway_Level3"
"424","Immune response","Cstad","Pathway_Level2"
"425","cAMP-PKA signaling","Akap10","Pathway_Level2"
"426","Mitochondrial dynamics and surveillance","Aifm2","Pathway_Level1"
"427","Fusion","Mfn2","Pathway_Level2"
"428","Fission","Fis1","Pathway_Level2"
"429","Organelle contact sites","Fkbp8","Pathway_Level2"
"430","Intramitochondrial membrane interactions","Dnajc11","Pathway_Level2"
"431","Trafficking","Armcx3","Pathway_Level2"
"432","Mitophagy","Fundc1","Pathway_Level2"
"433","Autophagy","Fundc1","Pathway_Level2"
"434","Apoptosis","Aifm3","Pathway_Level2"
"435","Cristae formation","Atp5k","Pathway_Level2"
"436","MICOS complex","Chchd3","Pathway_Level3"
"437","Mitochondrial central dogma","Angel2","Pathway_Level1"
"438","mtDNA maintenance","Endog","Pathway_Level2"
"439","mtDNA replication","Mgme1","Pathway_Level3"
"440","mtDNA nucleoid","Mterf2","Pathway_Level3"
"441","mtDNA repair","Ogg1","Pathway_Level3"
"442","mtRNA metabolism","Ddx28","Pathway_Level2"
"443","Transcription","Mtres1","Pathway_Level3"
"444","mtRNA granules","Eral1","Pathway_Level3"
"445","Polycistronic mtRNA processing","Fastkd2","Pathway_Level3"
"446","mt-tRNA modifications","Gtpbp3","Pathway_Level3"
"447","mt-rRNA modifications","Mrm1","Pathway_Level3"
"448","mt-mRNA modifications","Pde12","Pathway_Level3"
"449","mtRNA stability and decay","Fastkd2","Pathway_Level3"
"450","Translation","Cars2","Pathway_Level2"
"451","Mitochondrial ribosome","Gadd45gip1","Pathway_Level3"
"452","Mitochondrial ribosome assembly","Fastkd2","Pathway_Level3"
"453","Translation factors","Gfm1","Pathway_Level3"
"454","mt-tRNA synthetases","Ears2","Pathway_Level3"
"455","Protein import, sorting and homeostasis","Agk","Pathway_Level1"
"456","Protein import and sorting","Dnajc11","Pathway_Level2"
"457","TOM","Tomm40","Pathway_Level3"
"458","TIM23 presequence pathway","Timm21","Pathway_Level3"
"459","Import motor","Grpel2","Pathway_Level3"
"460","Preprotein cleavage","Pmpca","Pathway_Level3"
"461","Protein homeostasis","Atad1","Pathway_Level2"
"462","Proteases","Atad1","Pathway_Level3"
"463","Chaperones","Hspd1","Pathway_Level3"
"464","OXPHOS","Atp5b","Pathway_Level1"
"465","OXPHOS subunits","Atp5d","Pathway_Level2"
"466","OXPHOS assembly factors","Atpaf2","Pathway_Level2"
"467","Complex I","Dmac2","Pathway_Level2"
"468","CI subunits","mt-Nd4","Pathway_Level3"
"469","CI assembly factors","Dmac2","Pathway_Level3"
"470","Complex II","Sdhaf3","Pathway_Level2"
"471","CII subunits","Sdhd","Pathway_Level3"
"472","CII assembly factors","Sdhaf4","Pathway_Level3"
"473","Complex III","mt-Cytb","Pathway_Level2"
"474","CIII subunits","Uqcr11","Pathway_Level3"
"475","CIII assembly factors","Uqcc1","Pathway_Level3"
"476","Complex IV","Coa3","Pathway_Level2"
"477","CIV subunits","Cox5b","Pathway_Level3"
"478","CIV assembly factors","Coa3","Pathway_Level3"
"479","Complex V","Atp5d","Pathway_Level2"
"480","CV subunits","Atp5d","Pathway_Level3"
"481","CV assembly factors","Fmc1","Pathway_Level3"
"482","Respirasome assembly","Rab5if","Pathway_Level2"
"483","Metabolism","Abcb10","Pathway_Level1"
"484","Carbohydrate metabolism","Acly","Pathway_Level2"
"485","Gluconeogenesis","Mpc2","Pathway_Level3"
"486","Malate-aspartate shuttle","Slc25a11","Pathway_Level3"
"487","Pyruvate metabolism","Mpc1","Pathway_Level3"
"488","TCA cycle","Dlst","Pathway_Level3"
"489","TCA-associated","Fahd1","Pathway_Level3"
"490","Itaconate metabolism","Sucla2","Pathway_Level3"
