"","Pathway","Gene","Level"
"40","CI assembly factors","ACAD9","Pathway_Level3"
"41","Complex II","SDHA","Pathway_Level2"
"42","CII subunits","SDHA","Pathway_Level3"
"43","CII assembly factors","SDHAF1","Pathway_Level3"
"44","Complex III","BCS1L","Pathway_Level2"
"45","CIII subunits","CYC1","Pathway_Level3"
"46","CIII assembly factors","BCS1L","Pathway_Level3"
"47","Complex IV","CEP89","Pathway_Level2"
"48","CIV subunits","COX4I1","Pathway_Level3"
"49","CIV assembly factors","CEP89","Pathway_Level3"
"50","Complex V","ATP5F1A","Pathway_Level2"
"51","CV subunits","ATP5F1A","Pathway_Level3"
"52","CV assembly factors","ATPAF1","Pathway_Level3"
"53","Respirasome assembly","COX7A2L","Pathway_Level2"
"54","Cytochrome C","CYCS","Pathway_Level2"
"55","Metabolism","AADAT","Pathway_Level1"
"56","Carbohydrate metabolism","ABHD11","Pathway_Level2"
"57","Gluconeogenesis","MDH2","Pathway_Level3"
"58","Malate-aspartate shuttle","GOT2","Pathway_Level3"
"59","Glycerol phosphate shuttle","GPD2","Pathway_Level3"
"60","Pyruvate metabolism","DLAT","Pathway_Level3"
"61","TCA cycle","ACO2","Pathway_Level3"
"62","TCA-associated","ABHD11","Pathway_Level3"
"63","Itaconate metabolism","ACOD1","Pathway_Level3"
"64","Ketone metabolism","ACAA2","Pathway_Level3"
"65","Propanoate metabolism","MCEE","Pathway_Level3"
"66","Lipid metabolism","ACAA1","Pathway_Level2"
"67","Fatty acid oxidation","ACAA2","Pathway_Level3"
"68","Type II fatty acid synthesis","ACACA","Pathway_Level3"
"69","Lipoate insertion","GCSH","Pathway_Level3"
"70","Cardiolipin synthesis","AGPAT4","Pathway_Level3"
"71","Cholesterol, bile acid, steroid synthesis","CYP11A1","Pathway_Level3"
"72","Cholesterol-associated","FDPS","Pathway_Level3"
"73","Phospholipid metabolism","ACP6","Pathway_Level3"
"74","Eicosanoid metabolism","MGST3","Pathway_Level3"
"75","Amino acid metabolism","AADAT","Pathway_Level2"
"76","Branched-chain amino acid metabolism","ACAD8","Pathway_Level3"
"77","Branched-chain amino acid dehydrogenase complex","BCKDHA","Pathway_Level3"
"78","Lysine metabolism","AADAT","Pathway_Level3"
"79","Serine metabolism","AGXT","Pathway_Level3"
"80","Glycine metabolism","ALDH7A1","Pathway_Level3"
"81","Glycine cleavage system","AMT","Pathway_Level3"
"82","Glutamate metabolism","GLS","Pathway_Level3"
"83","Proline metabolism","ALDH18A1","Pathway_Level3"
"84","Glyoxylate metabolism","AGXT","Pathway_Level3"
"85","GABA metabolism","ABAT","Pathway_Level3"
"86","Catechol metabolism","COMT","Pathway_Level3"
"87","Kynurenine metabolism","GOT2","Pathway_Level3"
"88","Urea cycle","CA5A","Pathway_Level3"
"89","Nucleotide metabolism","AK2","Pathway_Level2"
"90","Nucleotide import","SLC25A23","Pathway_Level3"
"91","Nucleotide synthesis and processing","AK2","Pathway_Level3"
"92","Creatine metabolism","CKMT1A","Pathway_Level3"
"93","Metals and cofactors","ABAT","Pathway_Level2"
"94","Carnitine synthesis and transport","CPT1A","Pathway_Level3"
"95","Carnitine shuttle","CPT1A","Pathway_Level3"
"96","Coenzyme A metabolism","COASY","Pathway_Level3"
"97","Coenzyme Q metabolism","COQ10A","Pathway_Level3"
"98","Copper metabolism","CHCHD7","Pathway_Level3"
"99","Iron homeostasis","FAM210B","Pathway_Level3"
"100","Heme synthesis and processing","ABCB10","Pathway_Level3"
"101","Fe-S cluster biosynthesis","ABCB7","Pathway_Level3"
"102","Molybdenum cofactor synthesis and proteins","ABCB7","Pathway_Level3"
"103","NAD biosynthesis and metabolism","KMO","Pathway_Level3"
"104","Tetrahydrobiopterin synthesis","PCBD2","Pathway_Level3"
"105","Fe-S-containing proteins","ABAT","Pathway_Level3"
"106","Heme-containing proteins","CYB5B","Pathway_Level3"
"107","Vitamin metabolism","ACACA","Pathway_Level2"
"108","Choline and betaine metabolism","ALDH7A1","Pathway_Level3"
"109","Biotin utilizing proteins","ACACA","Pathway_Level3"
"110","Vitamin A metabolism","AKR1B10","Pathway_Level3"
"111","Vitamin B1 metabolism","SLC25A19","Pathway_Level3"
"112","Vitamin B2 metabolism","FLAD1","Pathway_Level3"
"113","Vitamin B6 metabolism","PLPBP","Pathway_Level3"
"114","Vitamin B12 metabolism","MMAA","Pathway_Level3"
"115","Vitamin C metabolism","GLRX2","Pathway_Level3"
"116","Vitamin D metabolism","CYP24A1","Pathway_Level3"
"117","Folate and 1-C metabolism","ALDH1L1","Pathway_Level3"
"118","Detoxification","ABHD10","Pathway_Level2"
"119","Xenobiotic metabolism","ABHD10","Pathway_Level3"
"120","ROS and glutathione metabolism","AIFM2","Pathway_Level3"
"121","Amidoxime reducing complex","CYB5B","Pathway_Level3"
"122","Selenoproteins","GPX1","Pathway_Level3"
"123","Electron carriers","CHDH","Pathway_Level2"
"124","Cytochromes","CYB5B","Pathway_Level3"
"125","Q-linked reactions, other","CHDH","Pathway_Level3"
"126","Sulfur metabolism","ETHE1","Pathway_Level2"
"127","Small molecule transport","ABCA9","Pathway_Level1"
"128","SLC25A family","MTCH1","Pathway_Level2"
"129","ABC transporters","ABCA9","Pathway_Level2"
"130","Sideroflexins","SFXN1","Pathway_Level2"
"131","Calcium uniporter","MCU","Pathway_Level2"
"132","Signaling","ACOD1","Pathway_Level1"
"133","Calcium homeostasis","EFHD1","Pathway_Level2"
"134","Calcium cycle","LETM1","Pathway_Level3"
"135","Mitochondrial permeability transition pore","PPIF","Pathway_Level3"
"136","EF hand proteins","EFHD1","Pathway_Level3"
"137","Immune response","ACOD1","Pathway_Level2"
"138","cAMP-PKA signaling","ADCY10","Pathway_Level2"
"139","Mitochondrial dynamics and surveillance","AHCYL1","Pathway_Level1"
"140","Fusion","ARL2","Pathway_Level2"
"141","Fission","ARMC10","Pathway_Level2"
"142","Organelle contact sites","AHCYL1","Pathway_Level2"
"143","Intramitochondrial membrane interactions","ATAD3A","Pathway_Level2"
"144","Trafficking","ARMC10","Pathway_Level2"
"145","Mitophagy","BCL2L13","Pathway_Level2"
"146","Autophagy","BCL2L13","Pathway_Level2"
"147","Apoptosis","AIFM1","Pathway_Level2"
"148","Cristae formation","APOO","Pathway_Level2"
"149","MICOS complex","APOO","Pathway_Level3"
"150","Mitochondrial central dogma","ALKBH1","Pathway_Level1"
"151","mtDNA maintenance","ATAD3A","Pathway_Level2"
"152","mtDNA replication","EXOG","Pathway_Level3"
"153","mtDNA nucleoid","ATAD3B","Pathway_Level3"
"154","mtDNA repair","EXOG","Pathway_Level3"
"155","mtDNA stability and decay","EXOG","Pathway_Level3"
"156","mtRNA metabolism","ANGEL2","Pathway_Level2"
"157","Transcription","MTERF1","Pathway_Level3"
"158","mtRNA granules","DDX28","Pathway_Level3"
"159","Polycistronic mtRNA processing","FASTK","Pathway_Level3"
"160","mt-tRNA modifications","CDK5RAP1","Pathway_Level3"
"161","mt-rRNA modifications","METTL17","Pathway_Level3"
"162","mt-mRNA modifications","MTPAP","Pathway_Level3"
"163","mtRNA stability and decay","FASTK","Pathway_Level3"
"164","Translation","AURKAIP1","Pathway_Level2"
"165","Mitochondrial ribosome","CHCHD1","Pathway_Level3"
"166","Mitochondrial ribosome assembly","DHX30","Pathway_Level3"
"167","Translation factors","COA3","Pathway_Level3"
"168","mt-tRNA synthetases","CARS2","Pathway_Level3"
"169","fMet processing","MTFMT","Pathway_Level3"
"170","Protein import, sorting and homeostasis","AFG3L2","Pathway_Level1"
"171","Protein import and sorting","AIFM1","Pathway_Level2"
"172","TOM","TOMM22","Pathway_Level3"
"173","SAM","MTX2","Pathway_Level3"
"174","MIA40","CHCHD4","Pathway_Level3"
"175","TIM22 carrier pathway","TIMM22","Pathway_Level3"
"176","TIM23 presequence pathway","TIMM17A","Pathway_Level3"
"177","Import motor","DNAJC19","Pathway_Level3"
"178","Preprotein cleavage","IMMP2L","Pathway_Level3"
"179","Protein homeostasis","AFG3L2","Pathway_Level2"
"180","Proteases","AFG3L2","Pathway_Level3"
"181","Chaperones","DNLZ","Pathway_Level3"
"182","OXPHOS","AIFM1","Pathway_Level1"
"183","OXPHOS subunits","ATP5F1B","Pathway_Level2"
"184","OXPHOS assembly factors","AIFM1","Pathway_Level2"
"185","Complex I","AIFM1","Pathway_Level2"
"186","CI subunits","MT-ND2","Pathway_Level3"
"187","CI assembly factors","AIFM1","Pathway_Level3"
"188","Complex II","SDHAF1","Pathway_Level2"
"189","CII subunits","SDHB","Pathway_Level3"
"190","CII assembly factors","SDHAF2","Pathway_Level3"
"191","Complex III","CYC1","Pathway_Level2"
"192","CIII subunits","MT-CYB","Pathway_Level3"
"193","CIII assembly factors","LYRM7","Pathway_Level3"
"194","Complex IV","CMC1","Pathway_Level2"
"195","CIV subunits","COX4I2","Pathway_Level3"
"196","CIV assembly factors","CMC1","Pathway_Level3"
"197","Complex V","ATP5F1B","Pathway_Level2"
"198","CV subunits","ATP5F1B","Pathway_Level3"
"199","CV assembly factors","ATPAF2","Pathway_Level3"
"200","Respirasome assembly","HIGD1A","Pathway_Level2"
"201","Cytochrome C","HCCS","Pathway_Level2"
"202","Metabolism","AASS","Pathway_Level1"
"203","Carbohydrate metabolism","ACAA2","Pathway_Level2"
"204","Gluconeogenesis","MPC1","Pathway_Level3"
"205","Malate-aspartate shuttle","MDH2","Pathway_Level3"
"206","Pyruvate metabolism","DLD","Pathway_Level3"
"207","TCA cycle","CS","Pathway_Level3"
"208","TCA-associated","ACLY","Pathway_Level3"
"209","Itaconate metabolism","AUH","Pathway_Level3"
"210","Ketone metabolism","ACAT1","Pathway_Level3"
"211","Propanoate metabolism","MMUT","Pathway_Level3"
"212","Lipid metabolism","ACAA2","Pathway_Level2"
"213","Fatty acid oxidation","ACACB","Pathway_Level3"
"214","Type II fatty acid synthesis","ACSF3","Pathway_Level3"
"215","Lipoate insertion","LIAS","Pathway_Level3"
"216","Cardiolipin synthesis","AGPAT5","Pathway_Level3"
"217","Cholesterol, bile acid, steroid synthesis","CYP11B1","Pathway_Level3"
"218","Cholesterol-associated","IDI1","Pathway_Level3"
"219","Phospholipid metabolism","AGK","Pathway_Level3"
"220","Eicosanoid metabolism","PTGES2","Pathway_Level3"
"221","Amino acid metabolism","AASS","Pathway_Level2"
"222","Branched-chain amino acid metabolism","ACADSB","Pathway_Level3"
"223","Branched-chain amino acid dehydrogenase complex","BCKDHB","Pathway_Level3"
"224","Lysine metabolism","AASS","Pathway_Level3"
"225","Serine metabolism","SDSL","Pathway_Level3"
"226","Glycine metabolism","AMT","Pathway_Level3"
"227","Glycine cleavage system","DLD","Pathway_Level3"
"228","Glutamate metabolism","GLS2","Pathway_Level3"
"229","Proline metabolism","ALDH4A1","Pathway_Level3"
"230","Glyoxylate metabolism","AGXT2","Pathway_Level3"
"231","GABA metabolism","ADHFE1","Pathway_Level3"
"232","Catechol metabolism","MAOA","Pathway_Level3"
"233","Kynurenine metabolism","KMO","Pathway_Level3"
"234","Urea cycle","CA5B","Pathway_Level3"
"235","Nucleotide metabolism","AK3","Pathway_Level2"
"236","Nucleotide import","SLC25A24","Pathway_Level3"
"237","Nucleotide synthesis and processing","AK3","Pathway_Level3"
"238","Creatine metabolism","CKMT1B","Pathway_Level3"
"239","Metals and cofactors","ABCB10","Pathway_Level2"
"240","Carnitine synthesis and transport","CPT1B","Pathway_Level3"
"241","Carnitine shuttle","CPT1B","Pathway_Level3"
"242","Coenzyme A metabolism","NUDT19","Pathway_Level3"
"243","Coenzyme Q metabolism","COQ10B","Pathway_Level3"
"244","Copper metabolism","COX11","Pathway_Level3"
"245","Iron homeostasis","FTH1","Pathway_Level3"
"246","Heme synthesis and processing","ABCB6","Pathway_Level3"
"247","Fe-S cluster biosynthesis","BOLA1","Pathway_Level3"
"248","Molybdenum cofactor synthesis and proteins","MOCS1","Pathway_Level3"
"249","NAD biosynthesis and metabolism","KYAT3","Pathway_Level3"
"250","Tetrahydrobiopterin synthesis","QDPR","Pathway_Level3"
"251","Fe-S-containing proteins","ACO2","Pathway_Level3"
"252","Heme-containing proteins","CYC1","Pathway_Level3"
"253","Vitamin metabolism","ACACB","Pathway_Level2"
"254","Choline and betaine metabolism","CHDH","Pathway_Level3"
"255","Biotin utilizing proteins","ACACB","Pathway_Level3"
"256","Vitamin A metabolism","BCO2","Pathway_Level3"
"257","Vitamin B2 metabolism","RFK","Pathway_Level3"
"258","Vitamin B6 metabolism","PNPO","Pathway_Level3"
"259","Vitamin B12 metabolism","MMAB","Pathway_Level3"
"260","Vitamin C metabolism","TXN2","Pathway_Level3"
"261","Vitamin D metabolism","CYP27B1","Pathway_Level3"
"262","Folate and 1-C metabolism","ALDH1L2","Pathway_Level3"
"263","Detoxification","ACSM2A","Pathway_Level2"
"264","Xenobiotic metabolism","ACSM2A","Pathway_Level3"
"265","ROS and glutathione metabolism","ALDH3A2","Pathway_Level3"
"266","Amidoxime reducing complex","CYB5R3","Pathway_Level3"
"267","Selenoproteins","GPX4","Pathway_Level3"
"268","Electron carriers","CYB5B","Pathway_Level2"
"269","Cytochromes","CYC1","Pathway_Level3"
"270","Q-linked reactions, other","DHODH","Pathway_Level3"
"271","Sulfur metabolism","GOT2","Pathway_Level2"
"272","Small molecule transport","ABCB10","Pathway_Level1"
"273","SLC25A family","MTCH2","Pathway_Level2"
"274","ABC transporters","ABCB10","Pathway_Level2"
"275","Sideroflexins","SFXN2","Pathway_Level2"
"276","Calcium uniporter","MCUB","Pathway_Level2"
"277","Signaling","ADCY10","Pathway_Level1"
"278","Calcium homeostasis","LETM1","Pathway_Level2"
"279","Calcium cycle","MCU","Pathway_Level3"
"280","Mitochondrial permeability transition pore","SLC25A31","Pathway_Level3"
"281","EF hand proteins","MICU1","Pathway_Level3"
"282","Immune response","C1QBP","Pathway_Level2"
"283","cAMP-PKA signaling","AKAP1","Pathway_Level2"
"284","Mitochondrial dynamics and surveillance","AIFM1","Pathway_Level1"
"285","Fusion","MFN1","Pathway_Level2"
"286","Fission","DNM1L","Pathway_Level2"
"287","Organelle contact sites","ATAD3A","Pathway_Level2"
"288","Intramitochondrial membrane interactions","ATAD3B","Pathway_Level2"
"289","Trafficking","ARMCX1","Pathway_Level2"
"290","Mitophagy","FKBP8","Pathway_Level2"
"291","Autophagy","FKBP8","Pathway_Level2"
"292","Apoptosis","AIFM2","Pathway_Level2"
"293","Cristae formation","APOOL","Pathway_Level2"
"294","MICOS complex","APOOL","Pathway_Level3"
"295","Mitochondrial central dogma","ANGEL2","Pathway_Level1"
"296","mtDNA maintenance","ATAD3B","Pathway_Level2"
"297","mtDNA replication","LIG3","Pathway_Level3"
"298","mtDNA nucleoid","MTERF1","Pathway_Level3"
"299","mtDNA repair","LIG3","Pathway_Level3"
"300","mtDNA stability and decay","MGME1","Pathway_Level3"
"301","mtRNA metabolism","CDK5RAP1","Pathway_Level2"
"302","Transcription","MTRES1","Pathway_Level3"
"303","mtRNA granules","DHX30","Pathway_Level3"
"304","Polycistronic mtRNA processing","FASTKD1","Pathway_Level3"
"305","mt-tRNA modifications","DUS2","Pathway_Level3"
"306","mt-rRNA modifications","METTL5","Pathway_Level3"
"307","mt-mRNA modifications","MYG1","Pathway_Level3"
"308","mtRNA stability and decay","FASTKD1","Pathway_Level3"
"309","Translation","C12orf65","Pathway_Level2"
"310","Mitochondrial ribosome","DAP3","Pathway_Level3"
"311","Mitochondrial ribosome assembly","ERAL1","Pathway_Level3"
"312","Translation factors","COX14","Pathway_Level3"
"313","mt-tRNA synthetases","DARS2","Pathway_Level3"
"314","fMet processing","PDF","Pathway_Level3"
"315","Protein import, sorting and homeostasis","AGK","Pathway_Level1"
"316","Protein import and sorting","CHCHD4","Pathway_Level2"
"317","TOM","TOMM34","Pathway_Level3"
"318","SAM","SAMM50","Pathway_Level3"
"319","MIA40","GFER","Pathway_Level3"
"320","TIM22 carrier pathway","TIMM29","Pathway_Level3"
"321","TIM23 presequence pathway","TIMM17B","Pathway_Level3"
"322","Import motor","GRPEL1","Pathway_Level3"
"323","Preprotein cleavage","MIPEP","Pathway_Level3"
"324","Protein homeostasis","ATAD1","Pathway_Level2"
"325","Proteases","ATAD1","Pathway_Level3"
"326","Chaperones","FKBP10","Pathway_Level3"
"327","OXPHOS","ATP5F1A","Pathway_Level1"
"328","OXPHOS subunits","ATP5F1C","Pathway_Level2"
"329","OXPHOS assembly factors","ATPAF1","Pathway_Level2"
"330","Complex I","COA1","Pathway_Level2"
"331","CI subunits","MT-ND3","Pathway_Level3"
"332","CI assembly factors","COA1","Pathway_Level3"
"333","Complex II","SDHAF2","Pathway_Level2"
"334","CII subunits","SDHC","Pathway_Level3"
"335","CII assembly factors","SDHAF3","Pathway_Level3"
"336","Complex III","LYRM7","Pathway_Level2"
"337","CIII subunits","UQCR10","Pathway_Level3"
"338","CIII assembly factors","TTC19","Pathway_Level3"
"339","Complex IV","CMC2","Pathway_Level2"
"340","CIV subunits","COX5A","Pathway_Level3"
"341","CIV assembly factors","CMC2","Pathway_Level3"
"342","Complex V","ATP5F1C","Pathway_Level2"
"343","CV subunits","ATP5F1C","Pathway_Level3"
"344","CV assembly factors","ATPSCKMT","Pathway_Level3"
"345","Respirasome assembly","HIGD2A","Pathway_Level2"
"346","Metabolism","ABAT","Pathway_Level1"
"347","Carbohydrate metabolism","ACAT1","Pathway_Level2"
"348","Gluconeogenesis","MPC1L","Pathway_Level3"
"349","Malate-aspartate shuttle","SLC25A10","Pathway_Level3"
"350","Pyruvate metabolism","MPC1","Pathway_Level3"
"351","TCA cycle","DLD","Pathway_Level3"
"352","TCA-associated","D2HGDH","Pathway_Level3"
"353","Itaconate metabolism","CLYBL","Pathway_Level3"
"354","Ketone metabolism","BDH1","Pathway_Level3"
"355","Propanoate metabolism","PCCA","Pathway_Level3"
"356","Lipid metabolism","ACACA","Pathway_Level2"
"357","Fatty acid oxidation","ACAD10","Pathway_Level3"
"358","Type II fatty acid synthesis","CBR4","Pathway_Level3"
"359","Lipoate insertion","LIPT1","Pathway_Level3"
"360","Cardiolipin synthesis","CRLS1","Pathway_Level3"
"361","Cholesterol, bile acid, steroid synthesis","CYP11B2","Pathway_Level3"
"362","Phospholipid metabolism","AGPAT4","Pathway_Level3"
"363","Eicosanoid metabolism","ZADH2","Pathway_Level3"
"364","Amino acid metabolism","ABAT","Pathway_Level2"
"365","Branched-chain amino acid metabolism","ACAT1","Pathway_Level3"
"366","Branched-chain amino acid dehydrogenase complex","BCKDK","Pathway_Level3"
"367","Lysine metabolism","ACAA2","Pathway_Level3"
"368","Serine metabolism","SFXN1","Pathway_Level3"
"369","Glycine metabolism","CHDH","Pathway_Level3"
"370","Glycine cleavage system","GCSH","Pathway_Level3"
"371","Glutamate metabolism","GLUD1","Pathway_Level3"
"372","Proline metabolism","OAT","Pathway_Level3"
"373","Glyoxylate metabolism","ALDH4A1","Pathway_Level3"
"374","GABA metabolism","AKR7A2","Pathway_Level3"
"375","Catechol metabolism","MAOB","Pathway_Level3"
"376","Kynurenine metabolism","KYAT3","Pathway_Level3"
"377","Urea cycle","CPS1","Pathway_Level3"
"378","Nucleotide metabolism","AK4","Pathway_Level2"
"379","Nucleotide import","SLC25A25","Pathway_Level3"
"380","Nucleotide synthesis and processing","AK4","Pathway_Level3"
"381","Creatine metabolism","CKMT2","Pathway_Level3"
"382","Metals and cofactors","ABCB6","Pathway_Level2"
"383","Carnitine synthesis and transport","CPT1C","Pathway_Level3"
"384","Carnitine shuttle","CPT1C","Pathway_Level3"
"385","Coenzyme A metabolism","NUDT8","Pathway_Level3"
"386","Coenzyme Q metabolism","COQ2","Pathway_Level3"
"387","Copper metabolism","COX17","Pathway_Level3"
"388","Iron homeostasis","FTMT","Pathway_Level3"
"389","Heme synthesis and processing","ABCB7","Pathway_Level3"
"390","Fe-S cluster biosynthesis","BOLA3","Pathway_Level3"
"391","Molybdenum cofactor synthesis and proteins","MTARC1","Pathway_Level3"
"392","NAD biosynthesis and metabolism","NADK2","Pathway_Level3"
"393","Tetrahydrobiopterin synthesis","SPR","Pathway_Level3"
"394","Fe-S-containing proteins","AIFM3","Pathway_Level3"
"395","Heme-containing proteins","CYCS","Pathway_Level3"
"396","Vitamin metabolism","AKR1B10","Pathway_Level2"
"397","Choline and betaine metabolism","DMGDH","Pathway_Level3"
"398","Biotin utilizing proteins","MCCC1","Pathway_Level3"
"399","Vitamin A metabolism","DHRS4","Pathway_Level3"
"400","Vitamin B2 metabolism","SLC25A32","Pathway_Level3"
"401","Vitamin B12 metabolism","MMADHC","Pathway_Level3"
"402","Vitamin D metabolism","FDX1","Pathway_Level3"
"403","Folate and 1-C metabolism","ALDH7A1","Pathway_Level3"
"404","Detoxification","ACSM5","Pathway_Level2"
"405","Xenobiotic metabolism","ACSM5","Pathway_Level3"
"406","ROS and glutathione metabolism","ALDH7A1","Pathway_Level3"
"407","Amidoxime reducing complex","MTARC1","Pathway_Level3"
"408","Selenoproteins","SELENOO","Pathway_Level3"
"409","Electron carriers","CYC1","Pathway_Level2"
"410","Cytochromes","CYCS","Pathway_Level3"
"411","Q-linked reactions, other","ETFA","Pathway_Level3"
"412","Sulfur metabolism","MPST","Pathway_Level2"
"413","Small molecule transport","ABCB6","Pathway_Level1"
"414","SLC25A family","SLC25A1","Pathway_Level2"
"415","ABC transporters","ABCB6","Pathway_Level2"
"416","Sideroflexins","SFXN3","Pathway_Level2"
"417","Calcium uniporter","MICU1","Pathway_Level2"
"418","Signaling","AKAP1","Pathway_Level1"
"419","Calcium homeostasis","MCU","Pathway_Level2"
"420","Calcium cycle","MCUB","Pathway_Level3"
"421","Mitochondrial permeability transition pore","SLC25A4","Pathway_Level3"
"422","EF hand proteins","MICU2","Pathway_Level3"
"423","Immune response","IFI27","Pathway_Level2"
"424","cAMP-PKA signaling","AKAP10","Pathway_Level2"
"425","Mitochondrial dynamics and surveillance","AIFM2","Pathway_Level1"
"426","Fusion","MFN2","Pathway_Level2"
"427","Fission","FIS1","Pathway_Level2"
"428","Organelle contact sites","ATAD3B","Pathway_Level2"
"429","Intramitochondrial membrane interactions","CHCHD3","Pathway_Level2"
"430","Trafficking","ARMCX3","Pathway_Level2"
"431","Mitophagy","FUNDC1","Pathway_Level2"
"432","Autophagy","FUNDC1","Pathway_Level2"
"433","Apoptosis","AIFM3","Pathway_Level2"
"434","Cristae formation","ATP5MD","Pathway_Level2"
"435","MICOS complex","CHCHD3","Pathway_Level3"
"436","Mitochondrial central dogma","APEX1","Pathway_Level1"
"437","mtDNA maintenance","DNA2","Pathway_Level2"
"438","mtDNA replication","MGME1","Pathway_Level3"
"439","mtDNA nucleoid","MTERF2","Pathway_Level3"
"440","mtDNA repair","OGG1","Pathway_Level3"
"441","mtRNA metabolism","DDX28","Pathway_Level2"
"442","Transcription","POLRMT","Pathway_Level3"
"443","mtRNA granules","ERAL1","Pathway_Level3"
"444","Polycistronic mtRNA processing","FASTKD2","Pathway_Level3"
"445","mt-tRNA modifications","GTPBP3","Pathway_Level3"
"446","mt-rRNA modifications","MRM1","Pathway_Level3"
"447","mt-mRNA modifications","PDE12","Pathway_Level3"
"448","mtRNA stability and decay","FASTKD2","Pathway_Level3"
"449","Translation","CARS2","Pathway_Level2"
"450","Mitochondrial ribosome","GADD45GIP1","Pathway_Level3"
"451","Mitochondrial ribosome assembly","FASTKD2","Pathway_Level3"
"452","Translation factors","GFM1","Pathway_Level3"
"453","mt-tRNA synthetases","EARS2","Pathway_Level3"
"454","Protein import, sorting and homeostasis","AIFM1","Pathway_Level1"
"455","Protein import and sorting","DNAJC11","Pathway_Level2"
"456","TOM","TOMM40","Pathway_Level3"
"457","TIM23 presequence pathway","TIMM21","Pathway_Level3"
"458","Import motor","GRPEL2","Pathway_Level3"
"459","Preprotein cleavage","PMPCA","Pathway_Level3"
"460","Protein homeostasis","ATP23","Pathway_Level2"
"461","Proteases","ATP23","Pathway_Level3"
"462","Chaperones","HSPD1","Pathway_Level3"
"463","OXPHOS","ATP5F1B","Pathway_Level1"
"464","OXPHOS subunits","ATP5F1D","Pathway_Level2"
"465","OXPHOS assembly factors","ATPAF2","Pathway_Level2"
"466","Complex I","DMAC1","Pathway_Level2"
"467","CI subunits","MT-ND4","Pathway_Level3"
"468","CI assembly factors","DMAC1","Pathway_Level3"
"469","Complex II","SDHAF3","Pathway_Level2"
"470","CII subunits","SDHD","Pathway_Level3"
"471","CII assembly factors","SDHAF4","Pathway_Level3"
"472","Complex III","MT-CYB","Pathway_Level2"
"473","CIII subunits","UQCR11","Pathway_Level3"
"474","CIII assembly factors","UQCC1","Pathway_Level3"
"475","Complex IV","COA1","Pathway_Level2"
"476","CIV subunits","COX5B","Pathway_Level3"
"477","CIV assembly factors","COA1","Pathway_Level3"
"478","Complex V","ATP5F1D","Pathway_Level2"
"479","CV subunits","ATP5F1D","Pathway_Level3"
"480","CV assembly factors","FMC1","Pathway_Level3"
"481","Respirasome assembly","RAB5IF","Pathway_Level2"
"482","Metabolism","ABCB10","Pathway_Level1"
"483","Carbohydrate metabolism","ACLY","Pathway_Level2"
"484","Gluconeogenesis","MPC2","Pathway_Level3"
"485","Malate-aspartate shuttle","SLC25A11","Pathway_Level3"
"486","Pyruvate metabolism","MPC1L","Pathway_Level3"
"487","TCA cycle","DLST","Pathway_Level3"
"488","TCA-associated","FAHD1","Pathway_Level3"
"489","Itaconate metabolism","SUCLA2","Pathway_Level3"
"490","Ketone metabolism","HADHB","Pathway_Level3"
"491","Propanoate metabolism","PCCB","Pathway_Level3"
"492","Lipid metabolism","ACACB","Pathway_Level2"
