Tissue,Group,Pathway,score
Adipose tissue,Secretory,Glyoxylate metabolism,88.56249999999999
Adipose tissue,Secretory,CIV subunits,3580.3809523809514
Adipose tissue,Secretory,Propanoate metabolism,27.1
Adipose tissue,Secretory,Glycerol phosphate shuttle,8.3
Adipose tissue,Secretory,Glutamate metabolism,30.075
Adipose tissue,Secretory,Tetrahydrobiopterin synthesis,31.366666666666667
Adipose tissue,Secretory,Kynurenine metabolism,12.9
Adipose tissue,Secretory,Molybdenum cofactor synthesis and proteins,58.06
Adipose tissue,Secretory,Lipoate insertion,9.9
Adipose tissue,Secretory,CV assembly factors,21.259999999999998
Adipose tissue,Secretory,Iron homeostasis,1341.1200000000001
Adipose tissue,Secretory,Vitamin B1 metabolism,9.3
Adipose tissue,Secretory,mtDNA stability and decay,6.833333333333333
Adipose tissue,Secretory,MIA40,16.166666666666668
Adipose tissue,Secretory,Creatine metabolism,8.725
Adipose tissue,Secretory,Vitamin B2 metabolism,15.666666666666666
Adipose tissue,Secretory,Vitamin B12 metabolism,25.975
Adipose tissue,Secretory,Eicosanoid metabolism,98.63333333333334
Adipose tissue,Secretory,CII assembly factors,16.1
Adipose tissue,Secretory,OXA,75.2
Adipose tissue,Secretory,Vitamin A metabolism,10.98
Adrenal gland,Secretory,Apoptosis,63.59428571428572
Adrenal gland,Secretory,Mitochondrial dynamics and surveillance,62.88942307692307
Adrenal gland,Secretory,Proteases,31.192857142857143
Adrenal gland,Secretory,Protein homeostasis,73.15882352941176
Adrenal gland,Secretory,"Protein import, sorting and homeostasis",69.8453488372093
Adrenal gland,Secretory,CI assembly factors,27.281818181818185
Adrenal gland,Secretory,Complex I,2918.1848484848483
Adrenal gland,Secretory,OXPHOS assembly factors,38.17794117647059
Adrenal gland,Secretory,OXPHOS,2991.5940828402354
Adrenal gland,Secretory,mtDNA nucleoid,32.77272727272727
Adrenal gland,Secretory,mtDNA maintenance,22.316129032258065
Adrenal gland,Secretory,Mitochondrial central dogma,35.935064935064936
Adrenal gland,Secretory,Nucleotide metabolism,52.5425
Adrenal gland,Secretory,Nucleotide synthesis and processing,54.675
Adrenal gland,Secretory,Metabolism,246.77613882863338
Adrenal gland,Secretory,Type II fatty acid synthesis,29.81111111111111
Adrenal gland,Secretory,CI subunits,4363.636363636362
Adrenal gland,Secretory,Fe-S cluster biosynthesis,80.65217391304347
Adrenal gland,Secretory,OXPHOS subunits,4933.410784313724
Adrenal gland,Secretory,Metals and cofactors,735.2631147540984
Adrenal gland,Secretory,Lipid metabolism,136.6552845528455
Adrenal gland,Secretory,Pyruvate metabolism,49.6625
Adrenal gland,Secretory,Carbohydrate metabolism,47.91369863013699
Adrenal gland,Secretory,Malate-aspartate shuttle,55.516666666666666
Adrenal gland,Secretory,Urea cycle,2.8714285714285714
Adrenal gland,Secretory,SLC25A family,45.06666666666667
Adrenal gland,Secretory,EF hand proteins,25.90909090909091
Adrenal gland,Secretory,Calcium homeostasis,82.85833333333333
Adrenal gland,Secretory,Small molecule transport,42.11882352941177
Adrenal gland,Secretory,Signaling,66.77083333333333
Adrenal gland,Secretory,Amino acid metabolism,45.12777777777778
Adrenal gland,Secretory,Cytochrome C,66.45
Adrenal gland,Secretory,Heme synthesis and processing,98.66875
Adrenal gland,Secretory,Mitochondrial permeability transition pore,148.0285714285714
Adrenal gland,Secretory,Nucleotide import,69.26
Adrenal gland,Secretory,Calcium uniporter,21.316666666666666
Adrenal gland,Secretory,Calcium cycle,86.16666666666667
Adrenal gland,Secretory,mtDNA replication,18.53571428571429
Adrenal gland,Secretory,mtDNA repair,25.11111111111111
Adrenal gland,Secretory,Fatty acid oxidation,59.68863636363636
Adrenal gland,Secretory,Protein import and sorting,57.34583333333334
Adrenal gland,Secretory,TIM22 carrier pathway,12.200000000000001
Adrenal gland,Secretory,Phospholipid metabolism,31.700000000000003
Adrenal gland,Secretory,Complex IV,3066.2313725490194
Adrenal gland,Secretory,CIV assembly factors,39.60666666666666
Adrenal gland,Secretory,Polycistronic mtRNA processing,28.46923076923077
Adrenal gland,Secretory,mtRNA metabolism,22.37763157894737
Adrenal gland,Secretory,Intramitochondrial membrane interactions,26.03333333333333
Adrenal gland,Secretory,Lysine metabolism,79.13125
Adrenal gland,Secretory,ROS and glutathione metabolism,205.8740740740741
Adrenal gland,Secretory,Xenobiotic metabolism,114.00434782608696
Adrenal gland,Secretory,Detoxification,138.13529411764708
Adrenal gland,Secretory,Preprotein cleavage,40.3875
Adrenal gland,Secretory,CIII subunits,2672.1
Adrenal gland,Secretory,Complex III,1680
Adrenal gland,Secretory,CIII assembly factors,26.5
Adrenal gland,Secretory,mt-tRNA synthetases,17.086363636363636
Adrenal gland,Secretory,Translation,44.00838709677419
Adrenal gland,Secretory,Electron carriers,1753.6666666666665
Adrenal gland,Secretory,"Q-linked reactions, other",37.472727272727276
Adrenal gland,Secretory,Choline and betaine metabolism,53.27142857142857
Adrenal gland,Secretory,Glycine metabolism,38.88666666666667
Adrenal gland,Secretory,Folate and 1-C metabolism,18.5
Adrenal gland,Secretory,Vitamin metabolism,42.410204081632656
Adrenal gland,Secretory,Vitamin D metabolism,165.77499999999998
Adrenal gland,Secretory,Heme-containing proteins,6034.984615384615
Adrenal gland,Secretory,Fe-S-containing proteins,72.84516129032258
Adrenal gland,Secretory,Vitamin C metabolism,103.04999999999998
Adrenal gland,Secretory,TOM,130.51111111111112
Adrenal gland,Secretory,Cardiolipin synthesis,33.05
Adrenal gland,Secretory,mt-rRNA modifications,22.116666666666667
Adrenal gland,Secretory,Mitochondrial ribosome assembly,21.208333333333332
Adrenal gland,Secretory,mtRNA granules,22.52857142857143
Adrenal gland,Secretory,mt-tRNA modifications,15.35909090909091
Adrenal gland,Secretory,Mitochondrial ribosome,60.5
Adrenal gland,Secretory,Mitophagy,105.07857142857142
Adrenal gland,Secretory,Autophagy,88.37222222222222
Adrenal gland,Secretory,GABA metabolism,43.84285714285714
Adrenal gland,Secretory,Proline metabolism,38.36666666666667
Adrenal gland,Secretory,Gluconeogenesis,52.766666666666666
Adrenal gland,Secretory,TCA-associated,28.9
Adrenal gland,Secretory,TCA cycle,75.705
Adrenal gland,Secretory,Fission,33.57333333333334
Adrenal gland,Secretory,Cholesterol-associated,142.10000000000002
Adrenal gland,Secretory,Coenzyme A metabolism,19.5
Adrenal gland,Secretory,Catechol metabolism,87.23333333333333
Adrenal gland,Secretory,cAMP-PKA signaling,33.583333333333336
Adrenal gland,Secretory,"Cholesterol, bile acid, steroid synthesis",806.8357142857143
Adrenal gland,Secretory,Branched-chain amino acid metabolism,66.756
Adrenal gland,Secretory,Selenoproteins,188.4
Adrenal gland,Secretory,Complex II,71.3625
Adrenal gland,Secretory,CII subunits,121.8
Adrenal gland,Secretory,Ketone metabolism,67.675
Adrenal gland,Secretory,TIM23 presequence pathway,63.51666666666667
Adrenal gland,Secretory,Translation factors,38.06875
Adrenal gland,Secretory,Copper metabolism,116.15714285714287
Adrenal gland,Secretory,mtRNA stability and decay,29.02941176470588
Adrenal gland,Secretory,Biotin utilizing proteins,29.8
Adrenal gland,Secretory,Chaperones,141.61875
Adrenal gland,Secretory,Branched-chain amino acid dehydrogenase complex,44.8
Adrenal gland,Secretory,Coenzyme Q metabolism,34.57692307692308
Adrenal gland,Secretory,Immune response,97.17999999999999
Adrenal gland,Secretory,NAD biosynthesis and metabolism,15.214285714285714
Adrenal gland,Secretory,Glycine cleavage system,33.275
Adrenal gland,Secretory,Complex V,4954.876923076923
Adrenal gland,Secretory,CV subunits,6127.4857142857145
Adrenal gland,Secretory,Transcription,25.6875
Adrenal gland,Secretory,Amidoxime reducing complex,164.8
Adrenal gland,Secretory,SAM,40.766666666666666
Adrenal gland,Secretory,Respirasome assembly,145.55
Adrenal gland,Secretory,mtDNA modifications,5
Adrenal gland,Secretory,ABC transporters,13.387500000000001
Adrenal gland,Secretory,Sulfur metabolism,45.481818181818184
Adrenal gland,Secretory,Trafficking,61.22857142857143
Adrenal gland,Secretory,Itaconate metabolism,36.483333333333334
Adrenal gland,Secretory,Cytochromes,6473.2
Adrenal gland,Secretory,fMet processing,5.333333333333334
Adrenal gland,Secretory,Import motor,27.03333333333333
Adrenal gland,Secretory,Organelle contact sites,36.83571428571429
Adrenal gland,Secretory,MICOS complex,33.51428571428571
Adrenal gland,Secretory,Cristae formation,104.2818181818182
Adrenal gland,Secretory,Sideroflexins,15.08
Adrenal gland,Secretory,Serine metabolism,17.08
Adrenal gland,Secretory,mt-mRNA modifications,14.75
Adrenal gland,Secretory,Vitamin B6 metabolism,19.6
Adrenal gland,Secretory,Fusion,25.855555555555558
Adrenal gland,Secretory,Carnitine synthesis and transport,16.266666666666666
Adrenal gland,Secretory,Carnitine shuttle,17.46
Adrenal gland,Secretory,Glyoxylate metabolism,83.9875
Adrenal gland,Secretory,CIV subunits,7389.980952380952
Adrenal gland,Secretory,Propanoate metabolism,46.525
Adrenal gland,Secretory,Glycerol phosphate shuttle,5.8
Adrenal gland,Secretory,Glutamate metabolism,34.0625
Adrenal gland,Secretory,Tetrahydrobiopterin synthesis,44.666666666666664
Adrenal gland,Secretory,Kynurenine metabolism,32.666666666666664
Adrenal gland,Secretory,Molybdenum cofactor synthesis and proteins,16.84
Adrenal gland,Secretory,Lipoate insertion,9.375
Adrenal gland,Secretory,CV assembly factors,29.919999999999998
Adrenal gland,Secretory,Iron homeostasis,1087.8799999999999
Adrenal gland,Secretory,Vitamin B1 metabolism,31.5
Adrenal gland,Secretory,mtDNA stability and decay,12.833333333333332
Adrenal gland,Secretory,MIA40,33.733333333333334
Adrenal gland,Secretory,Creatine metabolism,15.3
Adrenal gland,Secretory,Vitamin B2 metabolism,16.433333333333334
Adrenal gland,Secretory,Vitamin B12 metabolism,35.35
Adrenal gland,Secretory,Eicosanoid metabolism,76.03333333333333
Adrenal gland,Secretory,CII assembly factors,20.925
Adrenal gland,Secretory,OXA,91.4
Adrenal gland,Secretory,Vitamin A metabolism,18.52
Amygdala,CNS,Apoptosis,71.03714285714285
Amygdala,CNS,Mitochondrial dynamics and surveillance,74.32692307692308
Amygdala,CNS,Proteases,15.685714285714285
Amygdala,CNS,Protein homeostasis,36.839215686274514
Amygdala,CNS,"Protein import, sorting and homeostasis",47.61976744186047
Amygdala,CNS,CI assembly factors,27.90909090909091
Amygdala,CNS,Complex I,6467.269696969698
Amygdala,CNS,OXPHOS assembly factors,34.28529411764706
Amygdala,CNS,OXPHOS,6169.58875739645
Amygdala,CNS,mtDNA nucleoid,18.89090909090909
Amygdala,CNS,mtDNA maintenance,14.76774193548387
Amygdala,CNS,Mitochondrial central dogma,26.093506493506496
Amygdala,CNS,Nucleotide metabolism,46.1575
Amygdala,CNS,Nucleotide synthesis and processing,45.25416666666667
Amygdala,CNS,Metabolism,506.02581344902444
Amygdala,CNS,Type II fatty acid synthesis,19.444444444444446
Amygdala,CNS,CI subunits,9686.95
Amygdala,CNS,Fe-S cluster biosynthesis,29.717391304347824
Amygdala,CNS,OXPHOS subunits,10199.843137254906
Amygdala,CNS,Metals and cofactors,1811.8909836065582
Amygdala,CNS,Lipid metabolism,30.64308943089431
Amygdala,CNS,Pyruvate metabolism,27.26875
Amygdala,CNS,Carbohydrate metabolism,30.36849315068493
Amygdala,CNS,Malate-aspartate shuttle,33.88333333333333
Amygdala,CNS,Urea cycle,2.685714285714286
Amygdala,CNS,SLC25A family,33.90980392156863
Amygdala,CNS,EF hand proteins,44.981818181818184
Amygdala,CNS,Calcium homeostasis,53.1
Amygdala,CNS,Small molecule transport,32.39411764705882
Amygdala,CNS,Signaling,46.525
Amygdala,CNS,Amino acid metabolism,35.07888888888889
Amygdala,CNS,Cytochrome C,41.699999999999996
Amygdala,CNS,Heme synthesis and processing,13.325
Amygdala,CNS,Mitochondrial permeability transition pore,84.78571428571429
Amygdala,CNS,Nucleotide import,51.67
Amygdala,CNS,Calcium uniporter,15.483333333333333
Amygdala,CNS,Calcium cycle,27.93333333333333
Amygdala,CNS,mtDNA replication,11.25
Amygdala,CNS,mtDNA repair,17.755555555555556
Amygdala,CNS,Fatty acid oxidation,28.11818181818182
Amygdala,CNS,Protein import and sorting,52.75833333333334
Amygdala,CNS,TIM22 carrier pathway,6.666666666666667
Amygdala,CNS,Phospholipid metabolism,27.88695652173913
Amygdala,CNS,Complex IV,7834.362745098039
Amygdala,CNS,CIV assembly factors,38.77333333333333
Amygdala,CNS,Polycistronic mtRNA processing,17.338461538461537
Amygdala,CNS,mtRNA metabolism,20.95657894736842
Amygdala,CNS,Intramitochondrial membrane interactions,16.066666666666666
Amygdala,CNS,Lysine metabolism,45.63125
Amygdala,CNS,ROS and glutathione metabolism,105.82962962962962
Amygdala,CNS,Xenobiotic metabolism,37.09130434782609
Amygdala,CNS,Detoxification,70.12156862745098
Amygdala,CNS,Preprotein cleavage,32.9125
Amygdala,CNS,CIII subunits,4196.47
Amygdala,CNS,Complex III,2633.03125
Amygdala,CNS,CIII assembly factors,27.3
Amygdala,CNS,mt-tRNA synthetases,10.695454545454545
Amygdala,CNS,Translation,32.8058064516129
Amygdala,CNS,Electron carriers,2734.1333333333337
Amygdala,CNS,"Q-linked reactions, other",23.745454545454546
Amygdala,CNS,Choline and betaine metabolism,31.54285714285714
Amygdala,CNS,Glycine metabolism,27.453333333333333
Amygdala,CNS,Folate and 1-C metabolism,38.14285714285715
Amygdala,CNS,Vitamin metabolism,27.76938775510204
Amygdala,CNS,Vitamin D metabolism,3.4
Amygdala,CNS,Heme-containing proteins,16226.623076923079
Amygdala,CNS,Fe-S-containing proteins,44.558064516129036
Amygdala,CNS,Vitamin C metabolism,52.349999999999994
Amygdala,CNS,TOM,161.9111111111111
Amygdala,CNS,Cardiolipin synthesis,19.825
Amygdala,CNS,mt-rRNA modifications,30.505555555555553
Amygdala,CNS,Mitochondrial ribosome assembly,25.408333333333335
Amygdala,CNS,mtRNA granules,16.44642857142857
Amygdala,CNS,mt-tRNA modifications,9.559090909090909
Amygdala,CNS,Mitochondrial ribosome,40.16385542168675
Amygdala,CNS,Mitophagy,137.20714285714286
Amygdala,CNS,Autophagy,112.12777777777778
Amygdala,CNS,GABA metabolism,62.5
Amygdala,CNS,Proline metabolism,37.21666666666667
Amygdala,CNS,Gluconeogenesis,40.5
Amygdala,CNS,TCA-associated,28.59333333333333
Amygdala,CNS,TCA cycle,47.62
Amygdala,CNS,Fission,29.226666666666667
Amygdala,CNS,Cholesterol-associated,43.2
Amygdala,CNS,Coenzyme A metabolism,13.08
Amygdala,CNS,Catechol metabolism,72.33333333333333
Amygdala,CNS,cAMP-PKA signaling,29.833333333333336
Amygdala,CNS,"Cholesterol, bile acid, steroid synthesis",26.471428571428575
Amygdala,CNS,Branched-chain amino acid metabolism,33.02
Amygdala,CNS,Selenoproteins,117.16
Amygdala,CNS,Complex II,41.9375
Amygdala,CNS,CII subunits,67.35
Amygdala,CNS,Ketone metabolism,35.55
Amygdala,CNS,TIM23 presequence pathway,53.71666666666667
Amygdala,CNS,Translation factors,33.60625
Amygdala,CNS,Copper metabolism,43.885714285714286
Amygdala,CNS,mtRNA stability and decay,28.5
Amygdala,CNS,Biotin utilizing proteins,19.66
Amygdala,CNS,Chaperones,64.3125
Amygdala,CNS,Branched-chain amino acid dehydrogenase complex,17.366666666666667
Amygdala,CNS,Coenzyme Q metabolism,13.046153846153846
Amygdala,CNS,Immune response,56.64
Amygdala,CNS,NAD biosynthesis and metabolism,15.414285714285713
Amygdala,CNS,Glycine cleavage system,31.049999999999997
Amygdala,CNS,Complex V,6676.353846153847
Amygdala,CNS,CV subunits,8259.590476190477
Amygdala,CNS,Transcription,13.2875
Amygdala,CNS,Amidoxime reducing complex,48.25
Amygdala,CNS,SAM,27.766666666666666
Amygdala,CNS,Respirasome assembly,95.025
Amygdala,CNS,mtDNA modifications,6
Amygdala,CNS,ABC transporters,6.3625
Amygdala,CNS,Sulfur metabolism,21.036363636363635
Amygdala,CNS,Trafficking,16.65714285714286
Amygdala,CNS,Itaconate metabolism,24.21666666666667
Amygdala,CNS,Cytochromes,10187.7
Amygdala,CNS,fMet processing,2.6
Amygdala,CNS,Import motor,14.766666666666667
Amygdala,CNS,Organelle contact sites,60.128571428571426
Amygdala,CNS,MICOS complex,37.614285714285714
Amygdala,CNS,Cristae formation,172.42727272727274
Amygdala,CNS,Sideroflexins,16.880000000000003
Amygdala,CNS,Serine metabolism,12.56
Amygdala,CNS,mt-mRNA modifications,14.75
Amygdala,CNS,Vitamin B6 metabolism,20.200000000000003
Amygdala,CNS,Fusion,29.566666666666666
Amygdala,CNS,Carnitine synthesis and transport,11.8
Amygdala,CNS,Carnitine shuttle,12.82
Amygdala,CNS,Glyoxylate metabolism,85.65
Amygdala,CNS,CIV subunits,18970.91904761905
Amygdala,CNS,Propanoate metabolism,18.375
Amygdala,CNS,Glycerol phosphate shuttle,14.2
Amygdala,CNS,Glutamate metabolism,52.425
Amygdala,CNS,Tetrahydrobiopterin synthesis,194.4666666666667
Amygdala,CNS,Kynurenine metabolism,21.5
Amygdala,CNS,Molybdenum cofactor synthesis and proteins,11.44
Amygdala,CNS,Lipoate insertion,23.375
Amygdala,CNS,CV assembly factors,26.759999999999998
Amygdala,CNS,Iron homeostasis,1386.06
Amygdala,CNS,Vitamin B1 metabolism,11.4
Amygdala,CNS,mtDNA stability and decay,10.633333333333333
Amygdala,CNS,MIA40,15.033333333333333
Amygdala,CNS,Creatine metabolism,49.62500000000001
Amygdala,CNS,Vitamin B2 metabolism,13.766666666666666
Amygdala,CNS,Vitamin B12 metabolism,16.875
Amygdala,CNS,Eicosanoid metabolism,87.80000000000001
Amygdala,CNS,CII assembly factors,16.525
Amygdala,CNS,OXA,27
Amygdala,CNS,Vitamin A metabolism,5.86
Appendix,Digestive,Apoptosis,35.97714285714286
Appendix,Digestive,Mitochondrial dynamics and surveillance,32.285576923076924
Appendix,Digestive,Proteases,17.96785714285714
Appendix,Digestive,Protein homeostasis,28.788235294117648
Appendix,Digestive,"Protein import, sorting and homeostasis",30.8453488372093
Appendix,Digestive,CI assembly factors,12.577272727272728
Appendix,Digestive,Complex I,377.80151515151516
Appendix,Digestive,OXPHOS assembly factors,17.116176470588236
Appendix,Digestive,OXPHOS,396.8171597633138
Appendix,Digestive,mtDNA nucleoid,17.536363636363635
Appendix,Digestive,mtDNA maintenance,13.477419354838709
Appendix,Digestive,Mitochondrial central dogma,17.715151515151515
Appendix,Digestive,Nucleotide metabolism,30.542499999999997
Appendix,Digestive,Nucleotide synthesis and processing,30.404166666666665
Appendix,Digestive,Metabolism,54.192624728850355
Appendix,Digestive,Type II fatty acid synthesis,11.555555555555555
Appendix,Digestive,CI subunits,560.4136363636364
Appendix,Digestive,Fe-S cluster biosynthesis,16.382608695652173
Appendix,Digestive,OXPHOS subunits,646.2460784313726
Appendix,Digestive,Metals and cofactors,141.5811475409837
Appendix,Digestive,Lipid metabolism,20.388617886178864
Appendix,Digestive,Pyruvate metabolism,17.431250000000002
Appendix,Digestive,Carbohydrate metabolism,21.086301369863012
Appendix,Digestive,Malate-aspartate shuttle,21.616666666666667
Appendix,Digestive,Urea cycle,2.685714285714286
Appendix,Digestive,SLC25A family,24.319607843137256
Appendix,Digestive,EF hand proteins,11.318181818181818
Appendix,Digestive,Calcium homeostasis,40.4375
Appendix,Digestive,Small molecule transport,22.749411764705883
Appendix,Digestive,Signaling,30.883333333333333
Appendix,Digestive,Amino acid metabolism,17.122222222222224
Appendix,Digestive,Cytochrome C,51.95
Appendix,Digestive,Heme synthesis and processing,18.143749999999997
Appendix,Digestive,Mitochondrial permeability transition pore,86.35714285714285
Appendix,Digestive,Nucleotide import,45.18
Appendix,Digestive,Calcium uniporter,13.3
Appendix,Digestive,Calcium cycle,32.12222222222222
Appendix,Digestive,mtDNA replication,13.185714285714285
Appendix,Digestive,mtDNA repair,16.966666666666665
Appendix,Digestive,Fatty acid oxidation,18.631818181818183
Appendix,Digestive,Protein import and sorting,29.458333333333332
Appendix,Digestive,TIM22 carrier pathway,6
Appendix,Digestive,Phospholipid metabolism,17.921739130434784
Appendix,Digestive,Complex IV,458.5372549019607
Appendix,Digestive,CIV assembly factors,19.44666666666667
Appendix,Digestive,Polycistronic mtRNA processing,17.29230769230769
Appendix,Digestive,mtRNA metabolism,13.428947368421051
