RNAseq_sampleID,Condition,Pathway,score,Line,Study_part,Passage,Days_grown_Udays,Treatments,Clinical_condition
Sample_27,Control,Mitochondrial central dogma,19.32648473127299,hFB12,2,24,115,Control,Normal
Sample_27,Control,Translation,20.225536060963485,hFB12,2,24,115,Control,Normal
Sample_27,Control,mt-tRNA synthetases,35.142587046276205,hFB12,2,24,115,Control,Normal
Sample_28,Control,Mitochondrial central dogma,19.35470690443375,hFB12,2,27,134.96,Control,Normal
Sample_28,Control,Translation,20.084640254904002,hFB12,2,27,134.96,Control,Normal
Sample_28,Control,mt-tRNA synthetases,33.89781017962903,hFB12,2,27,134.96,Control,Normal
Sample_29,Control,Mitochondrial central dogma,19.30232069376965,hFB12,2,30,157.92,Control,Normal
Sample_29,Control,Translation,19.969108642694163,hFB12,2,30,157.92,Control,Normal
Sample_29,Control,mt-tRNA synthetases,34.60758312115677,hFB12,2,30,157.92,Control,Normal
Sample_30,Control,Mitochondrial central dogma,19.57428496916812,hFB12,2,33,180.88,Control,Normal
Sample_30,Control,Translation,20.71592892927074,hFB12,2,33,180.88,Control,Normal
Sample_30,Control,mt-tRNA synthetases,35.84048623340304,hFB12,2,33,180.88,Control,Normal
Sample_31,Control,Mitochondrial central dogma,19.873770314714456,hFB12,2,36,202,Control,Normal
Sample_31,Control,Translation,20.81979994320833,hFB12,2,36,202,Control,Normal
Sample_31,Control,mt-tRNA synthetases,37.809896558700196,hFB12,2,36,202,Control,Normal
Sample_32,Control,Mitochondrial central dogma,22.582997130960372,hFB13,2,6,22.08,Control,Normal
Sample_32,Control,Translation,23.199246740282952,hFB13,2,6,22.08,Control,Normal
Sample_32,Control,mt-tRNA synthetases,37.79714223805168,hFB13,2,6,22.08,Control,Normal
Sample_33,Control,Mitochondrial central dogma,22.024308600483682,hFB13,2,9,38.04,Control,Normal
Sample_33,Control,Translation,22.705374529984926,hFB13,2,9,38.04,Control,Normal
Sample_33,Control,mt-tRNA synthetases,36.100213758787916,hFB13,2,9,38.04,Control,Normal
Sample_34,Control,Mitochondrial central dogma,21.62025927341229,hFB13,2,12,53.04,Control,Normal
Sample_34,Control,Translation,22.30013997669594,hFB13,2,12,53.04,Control,Normal
Sample_34,Control,mt-tRNA synthetases,36.32223875320536,hFB13,2,12,53.04,Control,Normal
Sample_35,Control,Mitochondrial central dogma,21.105002306168586,hFB13,2,15,68.29,Control,Normal
Sample_35,Control,Translation,21.916005842130225,hFB13,2,15,68.29,Control,Normal
Sample_35,Control,mt-tRNA synthetases,36.55229078499486,hFB13,2,15,68.29,Control,Normal
Sample_36,Control,Mitochondrial central dogma,21.556756745154626,hFB13,2,18,83.17,Control,Normal
Sample_36,Control,Translation,22.480122366562235,hFB13,2,18,83.17,Control,Normal
Sample_36,Control,mt-tRNA synthetases,37.70950994847552,hFB13,2,18,83.17,Control,Normal
Sample_37,Control,Mitochondrial central dogma,21.590184790361274,hFB13,2,21,98.13,Control,Normal
Sample_37,Control,Translation,22.715854845404678,hFB13,2,21,98.13,Control,Normal
Sample_37,Control,mt-tRNA synthetases,39.192565816745486,hFB13,2,21,98.13,Control,Normal
Sample_38,Control,Mitochondrial central dogma,20.635110856622255,hFB13,2,24,115.33,Control,Normal
Sample_38,Control,Translation,21.716054833293878,hFB13,2,24,115.33,Control,Normal
Sample_38,Control,mt-tRNA synthetases,37.27141308006674,hFB13,2,24,115.33,Control,Normal
Sample_39,Control,Mitochondrial central dogma,20.099218255910458,hFB13,2,27,136.29,Control,Normal
Sample_39,Control,Translation,21.040607978871545,hFB13,2,27,136.29,Control,Normal
Sample_39,Control,mt-tRNA synthetases,36.73989388382497,hFB13,2,27,136.29,Control,Normal
Sample_40,Control,Mitochondrial central dogma,19.992028858304913,hFB13,2,30,158.21,Control,Normal
Sample_40,Control,Translation,20.848559032244534,hFB13,2,30,158.21,Control,Normal
Sample_40,Control,mt-tRNA synthetases,36.467077801628186,hFB13,2,30,158.21,Control,Normal
Sample_41,Control,Mitochondrial central dogma,20.329006293335098,hFB13,2,33,182.08,Control,Normal
Sample_41,Control,Translation,21.321676004746006,hFB13,2,33,182.08,Control,Normal
Sample_41,Control,mt-tRNA synthetases,36.09328182021361,hFB13,2,33,182.08,Control,Normal
Sample_42,Control,Mitochondrial central dogma,20.21682349269356,hFB13,2,36,202.25,Control,Normal
Sample_42,Control,Translation,21.451227931815573,hFB13,2,36,202.25,Control,Normal
Sample_42,Control,mt-tRNA synthetases,38.01374732280284,hFB13,2,36,202.25,Control,Normal
Sample_43,Control,Mitochondrial central dogma,21.80265000352692,hFB14,2,10,22.42,Control,Normal
Sample_43,Control,Translation,22.507856062441522,hFB14,2,10,22.42,Control,Normal
Sample_43,Control,mt-tRNA synthetases,36.66654233965316,hFB14,2,10,22.42,Control,Normal
Sample_44,Control,Mitochondrial central dogma,20.90216484925093,hFB14,2,13,39.13,Control,Normal
Sample_44,Control,Translation,22.090419519874228,hFB14,2,13,39.13,Control,Normal
Sample_44,Control,mt-tRNA synthetases,39.54355105963078,hFB14,2,13,39.13,Control,Normal
Sample_45,Control,Mitochondrial central dogma,20.11757238349581,hFB14,2,16,55.04,Control,Normal
Sample_45,Control,Translation,21.21482433065727,hFB14,2,16,55.04,Control,Normal
Sample_45,Control,mt-tRNA synthetases,37.203465385639035,hFB14,2,16,55.04,Control,Normal
Sample_46,Control,Mitochondrial central dogma,20.813399369794507,hFB14,2,19,70.13,Control,Normal
Sample_46,Control,Translation,21.962656516665756,hFB14,2,19,70.13,Control,Normal
Sample_46,Control,mt-tRNA synthetases,40.45539818430324,hFB14,2,19,70.13,Control,Normal
Sample_47,Control,Mitochondrial central dogma,20.804473221910357,hFB14,2,22,85.08,Control,Normal
Sample_47,Control,Translation,22.10695107596349,hFB14,2,22,85.08,Control,Normal
Sample_47,Control,mt-tRNA synthetases,39.82505741988594,hFB14,2,22,85.08,Control,Normal
Sample_48,Control,Mitochondrial central dogma,20.944068867586985,hFB14,2,25,100.29,Control,Normal
Sample_48,Control,Translation,22.06787199544042,hFB14,2,25,100.29,Control,Normal
Sample_48,Control,mt-tRNA synthetases,40.4053084692883,hFB14,2,25,100.29,Control,Normal
Sample_49,Control,Mitochondrial central dogma,20.264477980333883,hFB14,2,31,140.38,Control,Normal
Sample_49,Control,Translation,21.206125150841736,hFB14,2,31,140.38,Control,Normal
Sample_49,Control,mt-tRNA synthetases,35.27355875942918,hFB14,2,31,140.38,Control,Normal
Sample_21,Control,GABA metabolism,28.213035723057743,hFB12,2,6,21.21,Control,Normal
Sample_21,Control,Metals and cofactors,225.71943444381643,hFB12,2,6,21.21,Control,Normal
Sample_21,Control,Fe-S-containing proteins,23.390611385802547,hFB12,2,6,21.21,Control,Normal
Sample_22,Control,GABA metabolism,26.39859774661911,hFB12,2,9,37.33,Control,Normal
Sample_22,Control,Metals and cofactors,220.7560599261407,hFB12,2,9,37.33,Control,Normal
Sample_22,Control,Fe-S-containing proteins,22.43238631440473,hFB12,2,9,37.33,Control,Normal
Sample_23,Control,GABA metabolism,26.931875148052125,hFB12,2,12,52.96,Control,Normal
Sample_23,Control,Metals and cofactors,240.86701765661965,hFB12,2,12,52.96,Control,Normal
Sample_23,Control,Fe-S-containing proteins,21.887884512175795,hFB12,2,12,52.96,Control,Normal
Sample_24,Control,GABA metabolism,27.79187833414465,hFB12,2,15,68.08,Control,Normal
Sample_24,Control,Metals and cofactors,236.24002793287747,hFB12,2,15,68.08,Control,Normal
Sample_24,Control,Fe-S-containing proteins,22.324832355816557,hFB12,2,15,68.08,Control,Normal
Sample_25,Control,GABA metabolism,31.491807337692187,hFB12,2,18,83.08,Control,Normal
Sample_25,Control,Metals and cofactors,258.9700490137661,hFB12,2,18,83.08,Control,Normal
Sample_25,Control,Fe-S-containing proteins,22.029508663840463,hFB12,2,18,83.08,Control,Normal
Sample_26,Control,GABA metabolism,33.38629995140976,hFB12,2,21,98.08,Control,Normal
Sample_26,Control,Metals and cofactors,252.4321086088159,hFB12,2,21,98.08,Control,Normal
Sample_26,Control,Fe-S-containing proteins,21.701139908342757,hFB12,2,21,98.08,Control,Normal
Sample_27,Control,GABA metabolism,29.762273176358093,hFB12,2,24,115,Control,Normal
Sample_27,Control,Metals and cofactors,236.08078980998658,hFB12,2,24,115,Control,Normal
Sample_27,Control,Fe-S-containing proteins,20.85310881661027,hFB12,2,24,115,Control,Normal
Sample_28,Control,GABA metabolism,27.385769043431043,hFB12,2,27,134.96,Control,Normal
Sample_28,Control,Metals and cofactors,243.47681763712055,hFB12,2,27,134.96,Control,Normal
Sample_28,Control,Fe-S-containing proteins,22.02540725048542,hFB12,2,27,134.96,Control,Normal
Sample_29,Control,GABA metabolism,25.3202289228407,hFB12,2,30,157.92,Control,Normal
Sample_29,Control,Metals and cofactors,212.20955041512664,hFB12,2,30,157.92,Control,Normal
Sample_29,Control,Fe-S-containing proteins,20.86021898428509,hFB12,2,30,157.92,Control,Normal
Sample_30,Control,GABA metabolism,27.344912558711922,hFB12,2,33,180.88,Control,Normal
Sample_30,Control,Metals and cofactors,227.36848809095576,hFB12,2,33,180.88,Control,Normal
Sample_30,Control,Fe-S-containing proteins,21.83382117244195,hFB12,2,33,180.88,Control,Normal
Sample_31,Control,GABA metabolism,26.424013822546872,hFB12,2,36,202,Control,Normal
Sample_31,Control,Metals and cofactors,206.2711654449337,hFB12,2,36,202,Control,Normal
Sample_31,Control,Fe-S-containing proteins,21.68065568953026,hFB12,2,36,202,Control,Normal
Sample_32,Control,GABA metabolism,28.8739702709917,hFB13,2,6,22.08,Control,Normal
Sample_32,Control,Metals and cofactors,204.58063126462977,hFB13,2,6,22.08,Control,Normal
Sample_32,Control,Fe-S-containing proteins,23.36968864868804,hFB13,2,6,22.08,Control,Normal
Sample_33,Control,GABA metabolism,29.967217085695804,hFB13,2,9,38.04,Control,Normal
Sample_33,Control,Metals and cofactors,195.52818997854288,hFB13,2,9,38.04,Control,Normal
Sample_33,Control,Fe-S-containing proteins,22.591945296716286,hFB13,2,9,38.04,Control,Normal
Sample_34,Control,GABA metabolism,28.768914581204914,hFB13,2,12,53.04,Control,Normal
Sample_34,Control,Metals and cofactors,205.57004015717743,hFB13,2,12,53.04,Control,Normal
Sample_34,Control,Fe-S-containing proteins,22.582561154544646,hFB13,2,12,53.04,Control,Normal
Sample_35,Control,GABA metabolism,28.771474463345974,hFB13,2,15,68.29,Control,Normal
Sample_35,Control,Metals and cofactors,212.03537635734023,hFB13,2,15,68.29,Control,Normal
Sample_35,Control,Fe-S-containing proteins,22.534873483659513,hFB13,2,15,68.29,Control,Normal
Sample_36,Control,GABA metabolism,29.83194888362075,hFB13,2,18,83.17,Control,Normal
Sample_36,Control,Metals and cofactors,221.27931482943393,hFB13,2,18,83.17,Control,Normal
Sample_36,Control,Fe-S-containing proteins,22.39445540357201,hFB13,2,18,83.17,Control,Normal
Sample_37,Control,GABA metabolism,30.918413957096057,hFB13,2,21,98.13,Control,Normal
Sample_37,Control,Metals and cofactors,244.6478165271915,hFB13,2,21,98.13,Control,Normal
Sample_37,Control,Fe-S-containing proteins,22.397808133369157,hFB13,2,21,98.13,Control,Normal
Sample_38,Control,GABA metabolism,29.63479859410948,hFB13,2,24,115.33,Control,Normal
Sample_38,Control,Metals and cofactors,259.1723499298504,hFB13,2,24,115.33,Control,Normal
Sample_38,Control,Fe-S-containing proteins,22.874481048491198,hFB13,2,24,115.33,Control,Normal
Sample_39,Control,GABA metabolism,27.64589303684708,hFB13,2,27,136.29,Control,Normal
Sample_39,Control,Metals and cofactors,251.94068639505605,hFB13,2,27,136.29,Control,Normal
Sample_39,Control,Fe-S-containing proteins,22.998743820168073,hFB13,2,27,136.29,Control,Normal
Sample_40,Control,GABA metabolism,26.250269582067688,hFB13,2,30,158.21,Control,Normal
Sample_40,Control,Metals and cofactors,268.49744395466587,hFB13,2,30,158.21,Control,Normal
Sample_40,Control,Fe-S-containing proteins,22.36340013217074,hFB13,2,30,158.21,Control,Normal
Sample_41,Control,GABA metabolism,27.71813153157358,hFB13,2,33,182.08,Control,Normal
Sample_41,Control,Metals and cofactors,261.8390889225102,hFB13,2,33,182.08,Control,Normal
Sample_41,Control,Fe-S-containing proteins,23.97379705168616,hFB13,2,33,182.08,Control,Normal
Sample_42,Control,GABA metabolism,28.079099666038903,hFB13,2,36,202.25,Control,Normal
Sample_42,Control,Metals and cofactors,264.24922963442623,hFB13,2,36,202.25,Control,Normal
Sample_42,Control,Fe-S-containing proteins,23.62129307279608,hFB13,2,36,202.25,Control,Normal
Sample_43,Control,GABA metabolism,27.880771694855337,hFB14,2,10,22.42,Control,Normal
Sample_43,Control,Metals and cofactors,163.10594906835817,hFB14,2,10,22.42,Control,Normal
Sample_43,Control,Fe-S-containing proteins,21.280851179666875,hFB14,2,10,22.42,Control,Normal
Sample_44,Control,GABA metabolism,28.846233096834226,hFB14,2,13,39.13,Control,Normal
Sample_44,Control,Metals and cofactors,184.9811277435217,hFB14,2,13,39.13,Control,Normal
Sample_44,Control,Fe-S-containing proteins,20.99157538652238,hFB14,2,13,39.13,Control,Normal
Sample_45,Control,GABA metabolism,30.62566518570862,hFB14,2,16,55.04,Control,Normal
Sample_45,Control,Metals and cofactors,176.21632369409934,hFB14,2,16,55.04,Control,Normal
Sample_45,Control,Fe-S-containing proteins,20.243610410241587,hFB14,2,16,55.04,Control,Normal
Sample_46,Control,GABA metabolism,31.666556707441092,hFB14,2,19,70.13,Control,Normal
Sample_46,Control,Metals and cofactors,201.42690745937992,hFB14,2,19,70.13,Control,Normal
Sample_46,Control,Fe-S-containing proteins,21.600845524706642,hFB14,2,19,70.13,Control,Normal
Sample_47,Control,GABA metabolism,29.417271594477107,hFB14,2,22,85.08,Control,Normal
Sample_47,Control,Metals and cofactors,218.60333835681178,hFB14,2,22,85.08,Control,Normal
Sample_47,Control,Fe-S-containing proteins,21.8235014766048,hFB14,2,22,85.08,Control,Normal
Sample_48,Control,GABA metabolism,30.291829630854725,hFB14,2,25,100.29,Control,Normal
Sample_48,Control,Metals and cofactors,221.24441590939426,hFB14,2,25,100.29,Control,Normal
Sample_48,Control,Fe-S-containing proteins,22.016576336183714,hFB14,2,25,100.29,Control,Normal
Sample_49,Control,GABA metabolism,29.04443811747187,hFB14,2,31,140.38,Control,Normal
Sample_49,Control,Metals and cofactors,247.40996855677705,hFB14,2,31,140.38,Control,Normal
Sample_49,Control,Fe-S-containing proteins,23.399167625597936,hFB14,2,31,140.38,Control,Normal
Sample_21,Control,Small molecule transport,31.838864670802018,hFB12,2,6,21.21,Control,Normal
Sample_21,Control,ABC transporters,17.03674725935379,hFB12,2,6,21.21,Control,Normal
Sample_22,Control,Small molecule transport,31.74929024625488,hFB12,2,9,37.33,Control,Normal
Sample_22,Control,ABC transporters,17.728342185450835,hFB12,2,9,37.33,Control,Normal
Sample_23,Control,Small molecule transport,32.26977325572776,hFB12,2,12,52.96,Control,Normal
Sample_23,Control,ABC transporters,18.75577082972247,hFB12,2,12,52.96,Control,Normal
Sample_24,Control,Small molecule transport,31.944958538117064,hFB12,2,15,68.08,Control,Normal
Sample_24,Control,ABC transporters,16.086821030807734,hFB12,2,15,68.08,Control,Normal
Sample_25,Control,Small molecule transport,31.44606631902188,hFB12,2,18,83.08,Control,Normal
Sample_25,Control,ABC transporters,18.41382997483675,hFB12,2,18,83.08,Control,Normal
Sample_26,Control,Small molecule transport,30.652594512541654,hFB12,2,21,98.08,Control,Normal
Sample_26,Control,ABC transporters,18.672464268207065,hFB12,2,21,98.08,Control,Normal
Sample_27,Control,Small molecule transport,29.653122023661368,hFB12,2,24,115,Control,Normal
Sample_27,Control,ABC transporters,17.96395928632575,hFB12,2,24,115,Control,Normal
Sample_28,Control,Small molecule transport,30.171152727969016,hFB12,2,27,134.96,Control,Normal
Sample_28,Control,ABC transporters,17.986463215245777,hFB12,2,27,134.96,Control,Normal
Sample_29,Control,Small molecule transport,28.69634521337895,hFB12,2,30,157.92,Control,Normal
Sample_29,Control,ABC transporters,18.412300700481133,hFB12,2,30,157.92,Control,Normal
Sample_30,Control,Small molecule transport,29.58897430449772,hFB12,2,33,180.88,Control,Normal
Sample_30,Control,ABC transporters,17.878350377961358,hFB12,2,33,180.88,Control,Normal
Sample_31,Control,Small molecule transport,29.15115798149816,hFB12,2,36,202,Control,Normal
Sample_31,Control,ABC transporters,18.10493892922146,hFB12,2,36,202,Control,Normal
Sample_32,Control,Small molecule transport,31.58824650257083,hFB13,2,6,22.08,Control,Normal
Sample_32,Control,ABC transporters,17.740435959873697,hFB13,2,6,22.08,Control,Normal
Sample_33,Control,Small molecule transport,30.849010175864372,hFB13,2,9,38.04,Control,Normal
Sample_33,Control,ABC transporters,17.842190316415525,hFB13,2,9,38.04,Control,Normal
Sample_34,Control,Small molecule transport,31.46313550029814,hFB13,2,12,53.04,Control,Normal
Sample_34,Control,ABC transporters,17.36679471993954,hFB13,2,12,53.04,Control,Normal
Sample_35,Control,Small molecule transport,31.202662849412505,hFB13,2,15,68.29,Control,Normal
Sample_35,Control,ABC transporters,16.78327460150923,hFB13,2,15,68.29,Control,Normal
Sample_36,Control,Small molecule transport,30.678811829865158,hFB13,2,18,83.17,Control,Normal
Sample_36,Control,ABC transporters,16.950925116739235,hFB13,2,18,83.17,Control,Normal
Sample_37,Control,Small molecule transport,31.928125398019446,hFB13,2,21,98.13,Control,Normal
Sample_37,Control,ABC transporters,16.69668699162599,hFB13,2,21,98.13,Control,Normal
Sample_38,Control,Small molecule transport,31.903986023571253,hFB13,2,24,115.33,Control,Normal
Sample_38,Control,ABC transporters,18.19141884284955,hFB13,2,24,115.33,Control,Normal
Sample_39,Control,Small molecule transport,30.131464508451515,hFB13,2,27,136.29,Control,Normal
Sample_39,Control,ABC transporters,19.321913870721314,hFB13,2,27,136.29,Control,Normal
Sample_40,Control,Small molecule transport,30.097993837484236,hFB13,2,30,158.21,Control,Normal
Sample_40,Control,ABC transporters,18.672423687119068,hFB13,2,30,158.21,Control,Normal
Sample_41,Control,Small molecule transport,30.42713010657943,hFB13,2,33,182.08,Control,Normal
Sample_41,Control,ABC transporters,18.653903522237318,hFB13,2,33,182.08,Control,Normal
