Pathway,Gene
Carnitine synthesis and transport,CPT1A
Carnitine shuttle,CPT1A
Coenzyme A metabolism,COASY
Coenzyme Q metabolism,COQ10A
Copper metabolism,CHCHD7
Iron homeostasis,FAM210B
Heme synthesis and processing,ABCB10
Fe-S cluster biosynthesis,ABCB7
Molybdenum cofactor synthesis and proteins,ABCB7
NAD biosynthesis and metabolism,KMO
Tetrahydrobiopterin synthesis,PCBD2
Fe-S-containing proteins,ABAT
Heme-containing proteins,CYB5B
Vitamin metabolism,ACACA
Choline and betaine metabolism,ALDH7A1
Biotin utilizing proteins,ACACA
Vitamin A metabolism,AKR1B10
Vitamin B1 metabolism,SLC25A19
Vitamin B2 metabolism,FLAD1
Vitamin B6 metabolism,PLPBP
Vitamin B12 metabolism,MMAA
Vitamin C metabolism,GLRX2
Vitamin D metabolism,CYP24A1
Folate and 1-C metabolism,ALDH1L1
Detoxification,ABHD10
Xenobiotic metabolism,ABHD10
ROS and glutathione metabolism,AIFM2
Amidoxime reducing complex,CYB5B
Selenoproteins,GPX1
Electron carriers,CHDH
Cytochromes,CYB5B
"Q-linked reactions, other",CHDH
Sulfur metabolism,ETHE1
Small molecule transport,ABCA9
SLC25A family,MTCH1
ABC transporters,ABCA9
Sideroflexins,SFXN1
Calcium uniporter,MCU
Signaling,ACOD1
Calcium homeostasis,EFHD1
Calcium cycle,LETM1
Mitochondrial permeability transition pore,PPIF
EF hand proteins,EFHD1
Immune response,ACOD1
cAMP-PKA signaling,ADCY10
Mitochondrial dynamics and surveillance,AHCYL1
Fusion,ARL2
Fission,ARMC10
Organelle contact sites,AHCYL1
Intramitochondrial membrane interactions,ATAD3A
Trafficking,ARMC10
Mitophagy,BCL2L13
Autophagy,BCL2L13
Apoptosis,AIFM1
Cristae formation,APOO
MICOS complex,APOO
Mitochondrial central dogma,ALKBH1
mtDNA maintenance,ATAD3A
mtDNA replication,EXOG
mtDNA nucleoid,ATAD3B
mtDNA repair,EXOG
mtDNA stability and decay,EXOG
mtRNA metabolism,ANGEL2
Transcription,MTERF1
mtRNA granules,DDX28
Polycistronic mtRNA processing,FASTK
mt-tRNA modifications,CDK5RAP1
mt-rRNA modifications,METTL17
mt-mRNA modifications,MTPAP
mtRNA stability and decay,FASTK
Translation,AURKAIP1
Mitochondrial ribosome,CHCHD1
Mitochondrial ribosome assembly,DHX30
Translation factors,COA3
mt-tRNA synthetases,CARS2
fMet processing,MTFMT
"Protein import, sorting and homeostasis",AFG3L2
Protein import and sorting,AIFM1
TOM,TOMM22
SAM,MTX2
MIA40,CHCHD4
TIM22 carrier pathway,TIMM22
TIM23 presequence pathway,TIMM17A
Import motor,DNAJC19
Preprotein cleavage,IMMP2L
Protein homeostasis,AFG3L2
Proteases,AFG3L2
Chaperones,DNLZ
OXPHOS,AIFM1
OXPHOS subunits,ATP5F1B
OXPHOS assembly factors,AIFM1
Complex I,AIFM1
CI subunits,MT-ND2
CI assembly factors,AIFM1
Complex II,SDHAF1
CII subunits,SDHB
CII assembly factors,SDHAF2
Complex III,CYC1
CIII subunits,MT-CYB
CIII assembly factors,LYRM7
Complex IV,CMC1
CIV subunits,COX4I2
CIV assembly factors,CMC1
Complex V,ATP5F1B
CV subunits,ATP5F1B
CV assembly factors,ATPAF2
Respirasome assembly,HIGD1A
Cytochrome C,HCCS
Metabolism,AASS
Carbohydrate metabolism,ACAA2
Gluconeogenesis,MPC1
Malate-aspartate shuttle,MDH2
Pyruvate metabolism,DLD
TCA cycle,CS
TCA-associated,ACLY
Itaconate metabolism,AUH
Ketone metabolism,ACAT1
Propanoate metabolism,MMUT
Lipid metabolism,ACAA2
Fatty acid oxidation,ACACB
Type II fatty acid synthesis,ACSF3
Lipoate insertion,LIAS
Cardiolipin synthesis,AGPAT5
"Cholesterol, bile acid, steroid synthesis",CYP11B1
Cholesterol-associated,IDI1
Phospholipid metabolism,AGK
Eicosanoid metabolism,PTGES2
Amino acid metabolism,AASS
Branched-chain amino acid metabolism,ACADSB
Branched-chain amino acid dehydrogenase complex,BCKDHB
Lysine metabolism,AASS
Serine metabolism,SDSL
Glycine metabolism,AMT
Glycine cleavage system,DLD
Glutamate metabolism,GLS2
Proline metabolism,ALDH4A1
Glyoxylate metabolism,AGXT2
GABA metabolism,ADHFE1
Catechol metabolism,MAOA
Kynurenine metabolism,KMO
Urea cycle,CA5B
Nucleotide metabolism,AK3
Nucleotide import,SLC25A24
Nucleotide synthesis and processing,AK3
Creatine metabolism,CKMT1B
Metals and cofactors,ABCB10
Carnitine synthesis and transport,CPT1B
Carnitine shuttle,CPT1B
Coenzyme A metabolism,NUDT19
Coenzyme Q metabolism,COQ10B
Copper metabolism,COX11
Iron homeostasis,FTH1
Heme synthesis and processing,ABCB6
Fe-S cluster biosynthesis,BOLA1
Molybdenum cofactor synthesis and proteins,MOCS1
NAD biosynthesis and metabolism,KYAT3
Tetrahydrobiopterin synthesis,QDPR
Fe-S-containing proteins,ACO2
Heme-containing proteins,CYC1
Vitamin metabolism,ACACB
Choline and betaine metabolism,CHDH
Biotin utilizing proteins,ACACB
Vitamin A metabolism,BCO2
Vitamin B2 metabolism,RFK
Vitamin B6 metabolism,PNPO
Vitamin B12 metabolism,MMAB
Vitamin C metabolism,TXN2
Vitamin D metabolism,CYP27B1
Folate and 1-C metabolism,ALDH1L2
Detoxification,ACSM2A
Xenobiotic metabolism,ACSM2A
ROS and glutathione metabolism,ALDH3A2
Amidoxime reducing complex,CYB5R3
Selenoproteins,GPX4
Electron carriers,CYB5B
Cytochromes,CYC1
"Q-linked reactions, other",DHODH
Sulfur metabolism,GOT2
Small molecule transport,ABCB10
SLC25A family,MTCH2
ABC transporters,ABCB10
Sideroflexins,SFXN2
Calcium uniporter,MCUB
Signaling,ADCY10
Calcium homeostasis,LETM1
Calcium cycle,MCU
Mitochondrial permeability transition pore,SLC25A31
EF hand proteins,MICU1
Immune response,C1QBP
cAMP-PKA signaling,AKAP1
Mitochondrial dynamics and surveillance,AIFM1
Fusion,MFN1
Fission,DNM1L
Organelle contact sites,ATAD3A
Intramitochondrial membrane interactions,ATAD3B
Trafficking,ARMCX1
Mitophagy,FKBP8
Autophagy,FKBP8
Apoptosis,AIFM2
Cristae formation,APOOL
MICOS complex,APOOL
Mitochondrial central dogma,ANGEL2
mtDNA maintenance,ATAD3B
mtDNA replication,LIG3
mtDNA nucleoid,MTERF1
mtDNA repair,LIG3
mtDNA stability and decay,MGME1
mtRNA metabolism,CDK5RAP1
Transcription,MTRES1
mtRNA granules,DHX30
Polycistronic mtRNA processing,FASTKD1
mt-tRNA modifications,DUS2
mt-rRNA modifications,METTL5
mt-mRNA modifications,MYG1
mtRNA stability and decay,FASTKD1
Translation,C12orf65
Mitochondrial ribosome,DAP3
Mitochondrial ribosome assembly,ERAL1
Translation factors,COX14
mt-tRNA synthetases,DARS2
fMet processing,PDF
"Protein import, sorting and homeostasis",AGK
Protein import and sorting,CHCHD4
TOM,TOMM34
SAM,SAMM50
MIA40,GFER
TIM22 carrier pathway,TIMM29
TIM23 presequence pathway,TIMM17B
Import motor,GRPEL1
Preprotein cleavage,MIPEP
Protein homeostasis,ATAD1
Proteases,ATAD1
Chaperones,FKBP10
OXPHOS,ATP5F1A
OXPHOS subunits,ATP5F1C
OXPHOS assembly factors,ATPAF1
Complex I,COA1
CI subunits,MT-ND3
CI assembly factors,COA1
Complex II,SDHAF2
CII subunits,SDHC
CII assembly factors,SDHAF3
Complex III,LYRM7
CIII subunits,UQCR10
CIII assembly factors,TTC19
Complex IV,CMC2
CIV subunits,COX5A
CIV assembly factors,CMC2
Complex V,ATP5F1C
CV subunits,ATP5F1C
CV assembly factors,ATPSCKMT
Respirasome assembly,HIGD2A
Metabolism,ABAT
Carbohydrate metabolism,ACAT1
Gluconeogenesis,MPC1L
Malate-aspartate shuttle,SLC25A10
Pyruvate metabolism,MPC1
TCA cycle,DLD
TCA-associated,D2HGDH
Itaconate metabolism,CLYBL
Ketone metabolism,BDH1
Propanoate metabolism,PCCA
Lipid metabolism,ACACA
Fatty acid oxidation,ACAD10
Type II fatty acid synthesis,CBR4
Lipoate insertion,LIPT1
Cardiolipin synthesis,CRLS1
"Cholesterol, bile acid, steroid synthesis",CYP11B2
Phospholipid metabolism,AGPAT4
Eicosanoid metabolism,ZADH2
Amino acid metabolism,ABAT
Branched-chain amino acid metabolism,ACAT1
Branched-chain amino acid dehydrogenase complex,BCKDK
Lysine metabolism,ACAA2
Serine metabolism,SFXN1
Glycine metabolism,CHDH
Glycine cleavage system,GCSH
Glutamate metabolism,GLUD1
Proline metabolism,OAT
Glyoxylate metabolism,ALDH4A1
GABA metabolism,AKR7A2
Catechol metabolism,MAOB
Kynurenine metabolism,KYAT3
Urea cycle,CPS1
Nucleotide metabolism,AK4
Nucleotide import,SLC25A25
Nucleotide synthesis and processing,AK4
Creatine metabolism,CKMT2
Metals and cofactors,ABCB6
Carnitine synthesis and transport,CPT1C
Carnitine shuttle,CPT1C
Coenzyme A metabolism,NUDT8
Coenzyme Q metabolism,COQ2
Copper metabolism,COX17
Iron homeostasis,FTMT
Heme synthesis and processing,ABCB7
Fe-S cluster biosynthesis,BOLA3
Molybdenum cofactor synthesis and proteins,MTARC1
NAD biosynthesis and metabolism,NADK2
Tetrahydrobiopterin synthesis,SPR
Fe-S-containing proteins,AIFM3
Heme-containing proteins,CYCS
Vitamin metabolism,AKR1B10
Choline and betaine metabolism,DMGDH
Biotin utilizing proteins,MCCC1
Vitamin A metabolism,DHRS4
Vitamin B2 metabolism,SLC25A32
Vitamin B12 metabolism,MMADHC
Vitamin D metabolism,FDX1
Folate and 1-C metabolism,ALDH7A1
Detoxification,ACSM5
Xenobiotic metabolism,ACSM5
ROS and glutathione metabolism,ALDH7A1
Amidoxime reducing complex,MTARC1
Selenoproteins,SELENOO
Electron carriers,CYC1
Cytochromes,CYCS
"Q-linked reactions, other",ETFA
Sulfur metabolism,MPST
Small molecule transport,ABCB6
SLC25A family,SLC25A1
ABC transporters,ABCB6
Sideroflexins,SFXN3
Calcium uniporter,MICU1
Signaling,AKAP1
Calcium homeostasis,MCU
Calcium cycle,MCUB
Mitochondrial permeability transition pore,SLC25A4
EF hand proteins,MICU2
Immune response,IFI27
cAMP-PKA signaling,AKAP10
Mitochondrial dynamics and surveillance,AIFM2
Fusion,MFN2
Fission,FIS1
Organelle contact sites,ATAD3B
Intramitochondrial membrane interactions,CHCHD3
Trafficking,ARMCX3
Mitophagy,FUNDC1
Autophagy,FUNDC1
Apoptosis,AIFM3
Cristae formation,ATP5MD
MICOS complex,CHCHD3
Mitochondrial central dogma,APEX1
mtDNA maintenance,DNA2
mtDNA replication,MGME1
mtDNA nucleoid,MTERF2
mtDNA repair,OGG1
mtRNA metabolism,DDX28
Transcription,POLRMT
mtRNA granules,ERAL1
Polycistronic mtRNA processing,FASTKD2
mt-tRNA modifications,GTPBP3
mt-rRNA modifications,MRM1
mt-mRNA modifications,PDE12
mtRNA stability and decay,FASTKD2
Translation,CARS2
Mitochondrial ribosome,GADD45GIP1
Mitochondrial ribosome assembly,FASTKD2
Translation factors,GFM1
mt-tRNA synthetases,EARS2
"Protein import, sorting and homeostasis",AIFM1
Protein import and sorting,DNAJC11
TOM,TOMM40
TIM23 presequence pathway,TIMM21
Import motor,GRPEL2
Preprotein cleavage,PMPCA
Protein homeostasis,ATP23
Proteases,ATP23
Chaperones,HSPD1
OXPHOS,ATP5F1B
OXPHOS subunits,ATP5F1D
OXPHOS assembly factors,ATPAF2
Complex I,DMAC1
CI subunits,MT-ND4
CI assembly factors,DMAC1
Complex II,SDHAF3
CII subunits,SDHD
CII assembly factors,SDHAF4
Complex III,MT-CYB
CIII subunits,UQCR11
CIII assembly factors,UQCC1
Complex IV,COA1
CIV subunits,COX5B
CIV assembly factors,COA1
Complex V,ATP5F1D
CV subunits,ATP5F1D
CV assembly factors,FMC1
Respirasome assembly,RAB5IF
Metabolism,ABCB10
Carbohydrate metabolism,ACLY
Gluconeogenesis,MPC2
Malate-aspartate shuttle,SLC25A11
Pyruvate metabolism,MPC1L
TCA cycle,DLST
TCA-associated,FAHD1
Itaconate metabolism,SUCLA2
Ketone metabolism,HADHB
Propanoate metabolism,PCCB
Lipid metabolism,ACACB
Fatty acid oxidation,ACAD11
Type II fatty acid synthesis,HSD17B8
Lipoate insertion,LIPT2
Cardiolipin synthesis,GPAM
"Cholesterol, bile acid, steroid synthesis",CYP27A1
Phospholipid metabolism,AGPAT5
Amino acid metabolism,ACAA2
Branched-chain amino acid metabolism,ALDH6A1
Branched-chain amino acid dehydrogenase complex,DBT
Lysine metabolism,ACAT1
Serine metabolism,SFXN3
Glycine metabolism,DLD
Glycine cleavage system,GLDC
Glutamate metabolism,GLUD2
Proline metabolism,PRODH
Glyoxylate metabolism,GOT2
GABA metabolism,ALDH5A1
Urea cycle,NAGS
Nucleotide metabolism,ANTKMT
Nucleotide import,SLC25A31
Nucleotide synthesis and processing,CMPK2
Creatine metabolism,GATM
Metals and cofactors,ABCB7
Carnitine synthesis and transport,CPT2
Carnitine shuttle,CPT2
Coenzyme A metabolism,PANK2
Coenzyme Q metabolism,COQ3
Copper metabolism,COX19
Iron homeostasis,SLC25A28
Heme synthesis and processing,ALAS1
Fe-S cluster biosynthesis,CISD1
Molybdenum cofactor synthesis and proteins,MTARC2
NAD biosynthesis and metabolism,NAXD
Fe-S-containing proteins,BOLA1
Heme-containing proteins,CYP11A1
Vitamin metabolism,ALDH1L1
Choline and betaine metabolism,ETFA
Biotin utilizing proteins,PC
Vitamin A metabolism,RDH13
Vitamin B12 metabolism,MMUT
Vitamin D metabolism,FDXR
Folate and 1-C metabolism,AMT
Detoxification,AIFM2
Xenobiotic metabolism,AKR1B10
ROS and glutathione metabolism,ALDH9A1
Amidoxime reducing complex,MTARC2
Selenoproteins,TXNRD1
Electron carriers,CYCS
Cytochromes,MT-CYB
"Q-linked reactions, other",ETFB
Sulfur metabolism,MSRA
Small molecule transport,ABCB7
SLC25A family,SLC25A10
ABC transporters,ABCB7
Sideroflexins,SFXN4
Calcium uniporter,MICU2
Signaling,AKAP10
Calcium homeostasis,MCUB
Calcium cycle,MICU1
Mitochondrial permeability transition pore,SLC25A5
EF hand proteins,MICU3
Immune response,MAVS
cAMP-PKA signaling,PDE2A
Mitochondrial dynamics and surveillance,AIFM3
Fusion,MIGA1
Fission,MFF
Organelle contact sites,FKBP8
Intramitochondrial membrane interactions,DNAJC11
Trafficking,MGARP
Mitophagy,MARCHF5
Autophagy,MARCHF5
Apoptosis,BAD
Cristae formation,ATP5ME
MICOS complex,CHCHD6
Mitochondrial central dogma,ATAD3A
mtDNA maintenance,ENDOG
mtDNA replication,POLG
mtDNA nucleoid,POLDIP2
mtDNA repair,POLB
mtRNA metabolism,DHX30
Transcription,TEFM
mtRNA granules,FASTK
Polycistronic mtRNA processing,FASTKD3
mt-tRNA modifications,HSD17B10
mt-rRNA modifications,MRM2
mtRNA stability and decay,FASTKD3
Translation,CHCHD1
Mitochondrial ribosome,MRPL1
Mitochondrial ribosome assembly,GRSF1
Translation factors,GFM2
mt-tRNA synthetases,FARS2
"Protein import, sorting and homeostasis",ATAD1
Protein import and sorting,DNAJC15
TOM,TOMM40L
TIM23 presequence pathway,TIMM23
Import motor,PAM16
Preprotein cleavage,PMPCB
Protein homeostasis,CASP3
Proteases,CASP3
Chaperones,HSPE1
OXPHOS,ATP5F1C
OXPHOS subunits,ATP5F1E
OXPHOS assembly factors,ATPSCKMT
Complex I,DMAC2
CI subunits,MT-ND4L
CI assembly factors,DMAC2
Complex II,SDHAF4
Complex III,TTC19
CIII subunits,UQCRB
CIII assembly factors,UQCC2
Complex IV,COA3
CIV subunits,COX6A1
CIV assembly factors,COA3
Complex V,ATP5F1E
CV subunits,ATP5F1E
CV assembly factors,TMEM70
Metabolism,ABCB6
Carbohydrate metabolism,ACO2
Gluconeogenesis,PC
Malate-aspartate shuttle,SLC25A12
Pyruvate metabolism,MPC2
TCA cycle,FH
TCA-associated,L2HGDH
Itaconate metabolism,SUCLG1
Ketone metabolism,HMGCL
Lipid metabolism,ACAD10
Fatty acid oxidation,ACADL
Type II fatty acid synthesis,HTD2
Cardiolipin synthesis,GPAT2
"Cholesterol, bile acid, steroid synthesis",DHRS1
Phospholipid metabolism,CHPT1
Amino acid metabolism,ACAD8
Branched-chain amino acid metabolism,AUH
Branched-chain amino acid dehydrogenase complex,DLD
Lysine metabolism,ALDH7A1
Serine metabolism,SHMT2
Glycine metabolism,DMGDH
Glutamate metabolism,GOT2
Proline metabolism,PYCR1
Glyoxylate metabolism,GRHPR
GABA metabolism,ALDH9A1
Urea cycle,OTC
Nucleotide metabolism,CKMT1A
Nucleotide import,SLC25A33
Nucleotide synthesis and processing,DGUOK
Metals and cofactors,ACO2
Carnitine synthesis and transport,SLC25A20
Carnitine shuttle,SLC25A20
Coenzyme A metabolism,SLC25A42
Coenzyme Q metabolism,COQ4
Copper metabolism,SCO1
Iron homeostasis,SLC25A37
Heme synthesis and processing,ALAS2
Fe-S cluster biosynthesis,CISD3
Molybdenum cofactor synthesis and proteins,SUOX
NAD biosynthesis and metabolism,NAXE
Fe-S-containing proteins,BOLA3
Heme-containing proteins,CYP11B1
Vitamin metabolism,ALDH1L2
Choline and betaine metabolism,ETFB
Biotin utilizing proteins,PCCA
Vitamin A metabolism,RDH14
Folate and 1-C metabolism,CHDH
Detoxification,AKR1B10
Xenobiotic metabolism,AKR7A2
ROS and glutathione metabolism,CAT
Selenoproteins,TXNRD2
Electron carriers,DHODH
"Q-linked reactions, other",ETFBKMT
Sulfur metabolism,MSRB2
Small molecule transport,ABCB8
SLC25A family,SLC25A11
ABC transporters,ABCB8
Sideroflexins,SFXN5
Calcium uniporter,MICU3
Signaling,BLOC1S1
Calcium homeostasis,MICU1
Calcium cycle,MICU2
Mitochondrial permeability transition pore,SLC25A6
EF hand proteins,RHOT1
Immune response,NLRX1
cAMP-PKA signaling,PRKACA
Mitochondrial dynamics and surveillance,APOO
Fusion,MIGA2
Fission,MIEF1
Organelle contact sites,FUNDC2
Intramitochondrial membrane interactions,MTX1
Trafficking,MYO19
Mitophagy,NIPSNAP1
Autophagy,NBR1
Apoptosis,BAK1
Cristae formation,ATP5MG
MICOS complex,IMMT
Mitochondrial central dogma,ATAD3B
mtDNA maintenance,EXOG
mtDNA replication,POLG2
mtDNA nucleoid,POLG
mtDNA repair,POLG
mtRNA metabolism,DUS2
Transcription,TFAM
mtRNA granules,FASTKD1
Polycistronic mtRNA processing,FASTKD5
mt-tRNA modifications,MTO1
mt-rRNA modifications,MRM3
mtRNA stability and decay,FASTKD5
Translation,COA3
Mitochondrial ribosome,MRPL10
Mitochondrial ribosome assembly,GTPBP10
Translation factors,HEMK1
mt-tRNA synthetases,GARS1
"Protein import, sorting and homeostasis",ATP23
Protein import and sorting,DNAJC19
TOM,TOMM5
TIM23 presequence pathway,TIMM50
Import motor,TIMM44
Preprotein cleavage,UQCRC1
Protein homeostasis,CASP8
Proteases,CASP9
Chaperones,MAIP1
OXPHOS,ATP5F1D
OXPHOS subunits,ATP5IF1
OXPHOS assembly factors,BCS1L
Complex I,ECSIT
CI subunits,MT-ND5
CI assembly factors,ECSIT
Complex II,SDHB
Complex III,UQCC1
CIII subunits,UQCRC1
CIII assembly factors,UQCC3
Complex IV,COA4
CIV subunits,COX6A2
CIV assembly factors,COA4
Complex V,ATP5IF1
CV subunits,ATP5IF1
Metabolism,ABCB7
Carbohydrate metabolism,ACOD1
Gluconeogenesis,PCK2
Malate-aspartate shuttle,SLC25A13
Pyruvate metabolism,PDHA1
TCA cycle,IDH2
TCA-associated,ME2
Itaconate metabolism,SUCLG2
Ketone metabolism,HMGCS2
Lipid metabolism,ACAD11
Fatty acid oxidation,ACADM
Type II fatty acid synthesis,MCAT
Cardiolipin synthesis,HADHA
"Cholesterol, bile acid, steroid synthesis",FDX1
Phospholipid metabolism,GPAM
Amino acid metabolism,ACADSB
Branched-chain amino acid metabolism,BCAT2
Branched-chain amino acid dehydrogenase complex,PPM1K
Lysine metabolism,DHTKD1
Glycine metabolism,ETFA
Glutamate metabolism,GPT2
Proline metabolism,PYCR2
Glyoxylate metabolism,HOGA1
GABA metabolism,GLUD1
Urea cycle,SLC25A13
Nucleotide metabolism,CKMT1B
Nucleotide import,SLC25A36
Nucleotide synthesis and processing,DHODH
Metals and cofactors,AIFM3
Carnitine synthesis and transport,TMLHE
Coenzyme Q metabolism,COQ5
Copper metabolism,SCO2
Heme synthesis and processing,COX10
Fe-S cluster biosynthesis,FDX1
NAD biosynthesis and metabolism,NMNAT3
Fe-S-containing proteins,CISD1
Heme-containing proteins,CYP11B2
Vitamin metabolism,ALDH7A1
Choline and betaine metabolism,ETFDH
Folate and 1-C metabolism,DMGDH
Detoxification,AKR7A2
Xenobiotic metabolism,ALDH1B1
ROS and glutathione metabolism,GLRX2
Electron carriers,ETFA
"Q-linked reactions, other",ETFDH
Sulfur metabolism,SLC25A14
Small molecule transport,ABCD1
SLC25A family,SLC25A12
ABC transporters,ABCD1
Calcium uniporter,SMDT1
Signaling,C1QBP
Calcium homeostasis,MICU2
Calcium cycle,MICU3
Mitochondrial permeability transition pore,VDAC1
EF hand proteins,RHOT2
cAMP-PKA signaling,SPHKAP
Mitochondrial dynamics and surveillance,APOOL
Fusion,MTCH2
Fission,MIEF2
Organelle contact sites,MFN1
Intramitochondrial membrane interactions,MTX2
Trafficking,RHOT1
Mitophagy,NIPSNAP2
Autophagy,NIPSNAP1
Apoptosis,BAX
Cristae formation,CHCHD3
MICOS complex,MICOS10
Mitochondrial central dogma,AURKAIP1
mtDNA maintenance,LIG3
mtDNA replication,POLRMT
mtDNA nucleoid,POLG2
mtDNA repair,PRIMPOL
mtRNA metabolism,ELAC2
Transcription,TFB2M
mtRNA granules,FASTKD2
Polycistronic mtRNA processing,GRSF1
mt-tRNA modifications,NSUN2
mt-rRNA modifications,MTPAP
mtRNA stability and decay,GRSF1
Translation,COX14
Mitochondrial ribosome,MRPL11
Mitochondrial ribosome assembly,MALSU1
Translation factors,MRPL58
mt-tRNA synthetases,GATB
"Protein import, sorting and homeostasis",CASP3
Protein import and sorting,GFER
TOM,TOMM6
Preprotein cleavage,UQCRC2
Protein homeostasis,CASP9
Proteases,CLPB
Chaperones,NRDC
OXPHOS,ATP5F1E
OXPHOS subunits,ATP5MC1
OXPHOS assembly factors,CEP89
Complex I,FOXRED1
CI subunits,MT-ND6
CI assembly factors,FOXRED1
Complex II,SDHC
Complex III,UQCC2
CIII subunits,UQCRC2
Complex IV,COA5
CIV subunits,COX6B1
CIV assembly factors,COA5
Complex V,ATP5MC1
CV subunits,ATP5MC1
Metabolism,ABHD10
Carbohydrate metabolism,AUH
Gluconeogenesis,SLC25A1
Pyruvate metabolism,PDHA2
TCA cycle,IDH3A
TCA-associated,ME3
Ketone metabolism,OXCT1
Lipid metabolism,ACADL
Fatty acid oxidation,ACADS
Type II fatty acid synthesis,MECR
Cardiolipin synthesis,PGS1
"Cholesterol, bile acid, steroid synthesis",FDXR
Phospholipid metabolism,GPAT2
Amino acid metabolism,ACAT1
Branched-chain amino acid metabolism,BCKDHA
Lysine metabolism,DLD
Glycine metabolism,ETFB
Glutamate metabolism,NAT8L
Glyoxylate metabolism,LDHB
GABA metabolism,GLUD2
Urea cycle,SLC25A15
Nucleotide metabolism,CKMT2
Nucleotide import,SLC25A4
Nucleotide synthesis and processing,DTYMK
Metals and cofactors,ALAS1
Coenzyme Q metabolism,COQ6
Copper metabolism,SLC25A3
Heme synthesis and processing,COX15
Fe-S cluster biosynthesis,FDX2
NAD biosynthesis and metabolism,NNT
Fe-S-containing proteins,CISD3
Heme-containing proteins,CYP24A1
Vitamin metabolism,AMT
Choline and betaine metabolism,SARDH
Folate and 1-C metabolism,FPGS
Detoxification,ALDH1B1
Xenobiotic metabolism,ALDH2
ROS and glutathione metabolism,GPX1
Electron carriers,ETFB
"Q-linked reactions, other",ETFRF1
Sulfur metabolism,SLC25A30
Small molecule transport,ABCD2
SLC25A family,SLC25A13
ABC transporters,ABCD2
Signaling,CSKMT
Calcium homeostasis,MICU3
Calcium cycle,SLC25A3
Mitochondrial permeability transition pore,VDAC3
EF hand proteins,SLC25A12
Mitochondrial dynamics and surveillance,ARL2
Fusion,OMA1
Fission,MTFP1
Organelle contact sites,MFN2
Intramitochondrial membrane interactions,MTX3
Trafficking,RHOT2
Mitophagy,PARK7
Autophagy,NIPSNAP2
Apoptosis,BBC3
Cristae formation,CHCHD6
MICOS complex,MICOS13
Mitochondrial central dogma,C12orf65
mtDNA maintenance,METTL4
mtDNA replication,RNASEH1
mtDNA nucleoid,POLRMT
mtDNA repair,RECQL4
mtRNA metabolism,ENDOG
Transcription,TOP1MT
mtRNA granules,FASTKD5
Polycistronic mtRNA processing,HSD17B10
mt-tRNA modifications,NSUN3
mt-rRNA modifications,MYG1
mtRNA stability and decay,LACTB2
